JD dRA edRA dDE edDE
2456841.5557552 4006.11335402524 4.13540134444268 -1000.00000009663 4.24264068711928
2456845.6131701 4108.45610316999 3.10154858331051 -900.000000032004 2.82842712474619
2456856.5551458 4101.14960292553 4.13540206299364 -920.000000136528 4.24264068711928
2457007.9699005 -197.382577546118 8.2708479449832 -1199.99999990527 5.65685424949238
2457041.0804693 3655.22640988059 14.4739581324262 -1550.00000015435 8.48528137423857
2457144.6387865 3742.94111287672 3.10155356715865 -1490.00000002398 2.82842712474619
2457741.9962025 2887.67651958998 5.16935607591705 -2930.00000008434 5.65685424949238
2457752.9800353 2865.74492358054 3.10161377990429 -2960.00000030983 2.82842712474619
2457834.8408501 2756.07363042902 7.23706550284518 -3160.00000007268 7.07106781186548
2457838.7734034 2734.1410601815 4.13546456486258 -3160.00000011848 4.24264068711928
2457838.7947216 2734.1427208415 3.10160030933498 -3140.00000033455 2.82842712474619
2457881.6324039 2668.34842194662 3.10160098365042 -3250.00000006214 4.24264068711928
