t obsX obsY barStartX barStartY barEndX barEndY
1989.9595 5229.281929170402 -357.3802226044912 5225.503429170401 -360.6547226044912 5233.060429170402 -354.10572260449123
1989.9603 5198.830488213274 -325.8820927605003 5195.129488213274 -329.24409276050034 5202.531488213274 -322.5200927605003
1989.9615 5238.217705692732 -371.6615623066576 5234.633205692732 -375.1470623066576 5241.802205692732 -368.17606230665757
1990.0687 5061.654293996781 -645.7152291760406 5058.326793996781 -641.9832291760406 5064.981793996782 -649.4472291760405
1990.1296 4793.166139538129 -837.1546302025714 4788.444139538129 -838.7971302025715 4797.888139538129 -835.5121302025714
1990.2025 4366.955832198432 -977.9772533703052 4366.247832198433 -973.0277533703052 4367.663832198432 -982.9267533703053
1990.5028 2106.009871469668 -466.17539172321233 2109.727371469668 -462.8318917232123 2102.2923714696676 -469.51889172321233
1990.5623 1835.3346842978847 -253.2010082189242 1838.8976842978848 -256.7085082189242 1831.7716842978846 -249.6935082189242
1990.6464 1539.6424569176952 63.02883972713161 1544.4249569176952 64.48783972713161 1534.8599569176952 61.56983972713161
1990.741 1439.4581950495417 272.9823827206174 1439.7406950495417 267.9903827206174 1439.1756950495417 277.9743827206174
1990.7774 1455.8482262799178 321.9146071459633 1459.9327262799177 319.0321071459633 1451.7637262799178 324.7971071459633
1990.7787 1457.093776230849 324.20398049808244 1461.244776230849 321.41748049808245 1452.942776230849 326.99048049808243
1991.0193 1493.136918818146 -9.864816780840147 1488.626918818146 -7.706316780840147 1497.6469188181459 -12.023316780840148
1991.0618 1373.2617456735873 -153.81958150100178 1369.0707456735872 -156.54658150100178 1377.4527456735873 -151.09258150100177
1991.1481 1045.644102872199 -389.03182374011783 1044.041602872199 -384.29582374011784 1047.246602872199 -393.7678237401178
1991.2382 436.4745987410075 -543.7053401004531 431.7325987410075 -542.120840100453 441.21659874100754 -545.2898401004531
1991.2855 109.70480593060097 -536.4000696779995 109.85280593060097 -531.4020696779994 109.55680593060097 -541.3980696779995
1991.4484 -1167.4470811087076 -235.60893375079263 -1163.7775811087076 -232.21243375079263 -1171.1165811087076 -239.00543375079263
1991.4494 -1220.3438600755276 -181.4640920135476 -1216.5843600755277 -178.1680920135476 -1224.1033600755275 -184.7600920135476
1991.4507 -1197.877088491271 -214.06009219588103 -1194.001088491271 -210.90159219588102 -1201.753088491271 -217.21859219588103
1991.4518 -1217.2439658329945 -195.95602445361416 -1213.2769658329944 -192.91252445361417 -1221.2109658329946 -198.99952445361416
1991.4749 -1372.6124101134749 -110.94325414984725 -1367.6144101134748 -110.80575414984725 -1377.610410113475 -111.08075414984725
1991.4762 -1380.7756389774738 -78.41914670931624 -1375.7756389774738 -78.44214670931623 -1385.7756389774738 -78.39614670931624
1991.5891 -1985.2962532469232 357.6319605280935 -1980.9392532469233 360.0839605280935 -1989.6532532469232 355.1799605280935
1991.5903 -1973.3460046581608 333.3836671612086 -1968.9545046581609 335.77216716120864 -1977.7375046581608 330.9951671612086
1991.6718 -2197.448292729953 592.514195275543 -2196.1167927299534 587.694695275543 -2198.779792729953 597.3336952755429
1991.7277 -2227.239068084981 740.2823440910826 -2222.2995680849813 739.5063440910826 -2232.178568084981 741.0583440910825
1991.9718 -2141.634805608845 590.8848077086024 -2146.616305608845 590.4538077086023 -2136.653305608845 591.3158077086024
1991.9949 -2153.9697732589525 508.9760002318116 -2157.7282732589524 505.6790002318116 -2150.2112732589526 512.2730002318116
1991.9961 -2158.546285197359 509.4075838404429 -2162.206785197359 506.0020838404429 -2154.885785197359 512.8130838404429
1992.0945 -2426.124864108481 210.7393069441025 -2428.8428641084806 214.93580694410252 -2423.406864108481 206.5428069441025
1992.1637 -2745.7361879401547 52.924804992933 -2750.6601879401546 52.056804992932996 -2740.8121879401547 53.792804992933
1992.2305 -3161.6452755306937 -42.05101046530533 -3161.967775530694 -37.06151046530533 -3161.3227755306934 -47.04051046530533
1992.5314 -5384.690567285369 579.5441976258135 -5380.787567285369 582.6691976258135 -5388.593567285369 576.4191976258135
1993.061 -5965.313978276086 788.8392024321942 -5969.480978276087 786.0762024321941 -5961.146978276086 791.6022024321942
