bbat sat ut1 clkchain clock0 clock1 clock2 clock3 clock4 bat Ttt tt tt2tb roemer shapiro tropo shapiroJ shapiroS shapiroV shapiroU shapiroN posTel1 posTel2 posTel3 tt2tb telSSB1 telSSB2 telSSB3 geoSSB1 geoSSB2 geoSSB3 velPulsar1 velPulsar2 velPulsar3 zenith1 zenith2 zenith3 posPulsar1 posPulsar2 posPulsar3 elevation freq
42000.003803092317071 41999.998999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.003803092317071 41999.999511388888887 44.183999999999997499 -0.0013037526110500083712 370.80447451183783869 -5.4201175246307384614e-06 1.0414195881877287774e-08 -1.7961195493700270816e-08 -6.50305631764409679e-09 1.2840450885978343089e-11 -2.6682894714264465091e-10 -1.2792145551554513236e-09 0.017552 -0.005655 -0.010589 -0.0013037526110500083712 303.96493513 357.23157238 154.93063153 303.94738298860562509 357.23722759040884966 154.94122070086010012 0.000468 -0.000700 0.000398 1847.365813 -595.205064 -1122.039690 0.864080 0.421839 -0.274623 47.516861515319462228 545000000
42000.004803041275355 42000 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.004803041275355 42000.000511388888889 44.183999999999997499 -0.0013037311130433735205 370.80006448608492065 -5.420067240897334589e-06 1.0363562641959063037e-08 -1.7961237277548894466e-08 -6.5030543566411249487e-09 1.2840300993836679171e-11 -2.6682932028503663514e-10 -1.2792151892500000233e-09 0.017587 -0.005545 -0.010589 -0.0013037311130433735205 303.95808229 357.23651807 154.93272863 303.94049486348575329 357.24206274205209866 154.94331770648412316 0.000468 -0.000700 0.000398 1851.079242 -583.571978 -1122.030288 0.864080 0.421839 -0.274623 47.824789330878537896 545000000
42000.005802990226439 42000.001000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.005802990226439 42000.00151138888889 44.183999999999997499 -0.0013037095470877532559 370.79565383805635292 -5.4200169467562115828e-06 1.0313747828311316498e-08 -1.7961279058419684455e-08 -6.5030523956206880159e-09 1.2840151180838295938e-11 -2.6682969343662314547e-10 -1.2792158233066822558e-09 0.017622 -0.005434 -0.010589 -0.0013037095470877532559 303.95122866 357.24146386 154.93482567 303.93360664501108204 357.24689778570018461 154.94541466526342788 0.000468 -0.000700 0.000398 1854.719306 -571.915727 -1122.021069 0.864080 0.421839 -0.274623 48.132503351042856821 545000000
42010.003220562792631 42009.998999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.003220562792631 42009.999511388888887 44.183999999999997499 -0.001100358366923061661 320.47372080692690588 -4.8177276195360430806e-06 9.2877787985671155413e-09 -1.8378936568498743747e-08 -6.4887946321552857086e-09 1.1948500433465561139e-11 -2.702395376317462937e-10 -1.2854118374031999917e-09 0.018261 -0.002572 -0.010587 -0.001100358366923061661 230.74771564 399.92207577 173.44158229 230.72945415684054637 399.92464761364124115 173.45216970541156343 0.000468 -0.000700 0.000398 1922.023322 -270.684445 -1121.855098 0.864080 0.421839 -0.274623 55.821503900249219043 545000000
42010.00422049920623 42010 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.00422049920623 42010.000511388888889 44.183999999999997499 -0.0011003325466914398202 320.4682269159972634 -4.8176612207847954944e-06 9.2552449141308764262e-09 -1.837897819534274981e-08 -6.4887939432930581937e-09 1.1948474719860271843e-11 -2.7023984481414722123e-10 -1.2854124341283838661e-09 0.018277 -0.002457 -0.010587 -0.0011003325466914398202 230.74001204 399.92586733 173.44317633 230.72173470832953512 399.92832424418276105 173.4537636992317573 0.000468 -0.000700 0.000398 1923.690692 -258.587412 -1121.850816 0.864080 0.421839 -0.274623 56.120297438467353857 545000000
42010.005220435611918 42010.001000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.005220435611918 42010.00151138888889 44.183999999999997499 -0.0011003066576231019212 320.46273234150851295 -4.8175948101629715345e-06 9.2232404150313472258e-09 -1.8379019819209808949e-08 -6.4887932543093947746e-09 1.1948449089376148948e-11 -2.7024015200138658665e-10 -1.285413030817476196e-09 0.018292 -0.002342 -0.010587 -0.0011003066576231019212 230.73230763 399.92965888 173.44477031 230.71401518807107323 399.93200075154283013 173.45535763959091469 0.000468 -0.000700 0.000398 1925.281813 -246.480115 -1121.846726 0.864080 0.421839 -0.274623 56.418588022276836114 545000000
42020.002523634013439 42019.998999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.002523634013439 42019.999511388888887 44.183999999999997499 -0.00086250372866715236536 260.25883719715341158 -4.0494523310696522859e-06 8.5702232201629658264e-09 -1.8791338729308163601e-08 -6.4874566056327910228e-09 1.2270093918317301655e-11 -2.7291047586887220906e-10 -1.2911678837543216117e-09 0.018433 0.000587 -0.010587 -0.00086250372866715236536 150.38927563 430.34559302 186.62989594 150.37084306167434988 430.34500558558414696 186.64048296202230404 0.000468 -0.000700 0.000398 1940.029268 61.826666 -1121.813925 0.864080 0.421839 -0.274623 63.739652056901562105 545000000
42020.003523559828004 42020 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.003523559828004 42020.000511388888889 44.183999999999997499 -0.00086247517518637736595 260.25242754712536453 -4.0493687732524825734e-06 8.5499625184291920508e-09 -1.8791379314936763742e-08 -6.4874572026309238198e-09 1.2270189964147739966e-11 -2.7291070148929087912e-10 -1.2911684282357712343e-09 0.018429 0.000703 -0.010587 -0.00086247517518637736595 150.38096222 430.34810025 186.63093281 150.36253372337415612 430.34739686119002045 186.64151984304984921 0.000468 -0.000700 0.000398 1939.601355 74.030568 -1121.814887 0.864080 0.421839 -0.274623 64.017037831486646837 545000000
42020.004523485634245 42020.001000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.004523485634245 42020.00151138888889 44.183999999999997499 -0.00086244655240451601266 260.24601717769820652 -4.0492852020862116785e-06 8.5300819215953801946e-09 -1.8791419897641958705e-08 -6.4874577994019665873e-09 1.2270286098533389774e-11 -2.7291092711099953735e-10 -1.2911689726836681366e-09 0.018424 0.000819 -0.010587 -0.00086244655240451601266 150.37264805 430.35060731 186.63196962 150.35422434291567129 430.34978800286927481 186.64255666608352158 0.000468 -0.000700 0.000398 1939.096561 86.231531 -1121.816041 0.864080 0.421839 -0.274623 64.293222637106822503 545000000
42030.001734120903539 42029.998999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42030.001734120903539 42029.999511388888887 44.183999999999997499 -0.00060293938697104638817 192.04464588134587189 -3.1048808900117788857e-06 8.1434531875005509235e-09 -1.9190238648753272641e-08 -6.498821953690884342e-09 1.3781481321067579649e-11 -2.7470108905153381156e-10 -1.2963456779187560522e-09 0.018060 0.003729 -0.010588 -0.00060293938697104638817 65.41381004 447.53218463 194.08351854 65.39574970535858256 447.52845525112377345 194.09410653905675304 0.000468 -0.000700 0.000398 1900.852054 392.513740 -1121.916670 0.864080 0.421839 -0.274623 70.722153890061036918 545000000
