bbat sat ut1 clkchain clock0 clock1 clock2 clock3 clock4 bat Ttt tt tt2tb roemer shapiro tropo shapiroJ shapiroS shapiroV shapiroU shapiroN posTel1 posTel2 posTel3 tt2tb telSSB1 telSSB2 telSSB3 geoSSB1 geoSSB2 geoSSB3 velPulsar1 velPulsar2 velPulsar3 zenith1 zenith2 zenith3 posPulsar1 posPulsar2 posPulsar3 elevation freq
41999.804813164549177 41999.800000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 41999.804813164549177 41999.800511388888889 44.183999999999997499 -0.0013066821898492263828 371.67471824103165545 -5.4300379655242482456e-06 -3.39090998927746169e-08 -1.7952830949209649008e-08 -6.5034513928610453787e-09 1.2871747342884583124e-11 -2.6675486411969267241e-10 -1.2790875779446455495e-09 0.000117 -0.018415 -0.010633 -0.0013066821898492263828 305.31637603 356.25447049 154.51235238 305.31625949584702084 356.27288557335248242 154.52298538489000634 0.000468 -0.000700 0.000398 12.283826 -1938.170260 -1126.653332 0.864080 0.421839 -0.274623 -12.823386290727576409 545000000
42000.004803041275355 42000 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.004803041275355 42000.000511388888889 44.183999999999997499 -0.0013037311130433735205 370.80006448608492065 -5.420067240897334589e-06 1.0363562641959063037e-08 -1.7961237277548894466e-08 -6.5030543566411249487e-09 1.2840300993836679171e-11 -2.6682932028503663514e-10 -1.2792151892500000233e-09 0.017587 -0.005545 -0.010589 -0.0013037311130433735205 303.95808229 357.23651807 154.93272863 303.94049486348575329 357.24206274205209866 154.94331770648412316 0.000468 -0.000700 0.000398 1851.079242 -583.571978 -1122.030288 0.864080 0.421839 -0.274623 47.824789330878537896 545000000
42000.204792659509433 42000.199999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42000.204792659509433 42000.200511388888888 44.183999999999997499 -0.001298399259252250304 369.90307458752880621 -5.4097245379687283127e-06 8.8509442575393878949e-09 -1.7969539624443319703e-08 -6.5026573320865670837e-09 1.2811687179275303487e-11 -2.6690406949063072293e-10 -1.279341461547479708e-09 0.010675 0.015025 -0.010606 -0.001298399259252250304 302.57167103 358.22194480 155.35116997 302.56099605604015323 358.20692009531853728 155.36177623706828399 0.000468 -0.000700 0.000398 1123.550309 1581.335745 -1123.839200 0.864080 0.421839 -0.274623 60.25748556701443448 545000000
42009.80423311101822 42009.800000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42009.80423311101822 42009.800511388888889 44.183999999999997499 -0.0011041278218715589766 321.55789116318982224 -4.8308260312876689742e-06 -8.1527548660196076143e-08 -1.8370599356988428815e-08 -6.4889345291224858236e-09 1.1955208912468645983e-11 -2.7017850027861136602e-10 -1.2852922804692552574e-09 0.003267 -0.018128 -0.010625 -0.0011041278218715589766 232.26746043 399.17242077 173.12327672 232.26419309487226883 399.1905486708910189 173.13390184279253958 0.000468 -0.000700 0.000398 343.902551 -1907.944979 -1125.823953 0.864080 0.421839 -0.274623 -5.0799576352979913807 545000000
42010.00422049920623 42010 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.00422049920623 42010.000511388888889 44.183999999999997499 -0.0011003325466914398202 320.4682269159972634 -4.8176612207847954944e-06 9.2552449141308764262e-09 -1.837897819534274981e-08 -6.4887939432930581937e-09 1.1948474719860271843e-11 -2.7023984481414722123e-10 -1.2854124341283838661e-09 0.018277 -0.002457 -0.010587 -0.0011003325466914398202 230.74001204 399.92586733 173.44317633 230.72173470832953512 399.92832424418276105 173.4537636992317573 0.000468 -0.000700 0.000398 1923.690692 -258.587412 -1121.850816 0.864080 0.421839 -0.274623 56.120297438467353857 545000000
42010.204207604909637 42010.199999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42010.204207604909637 42010.200511388888888 44.183999999999997499 -0.0010941259725590621928 319.35415349806004315 -4.8040726435374282794e-06 9.7324735312060696635e-09 -1.838725262167736538e-08 -6.4886497617616888303e-09 1.1944709523047036297e-11 -2.7030132160238850998e-10 -1.2855313030479231631e-09 0.007946 0.016626 -0.010613 -0.0010941259725590621928 229.18435243 400.67779823 173.76087402 229.17640642896628833 400.66117257019550379 173.77148711952708027 0.000468 -0.000700 0.000398 836.328541 1749.835717 -1124.558632 0.864080 0.421839 -0.274623 52.125198090448755295 545000000
42019.803538274683493 42019.800000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42019.803538274683493 42019.800511388888889 44.183999999999997499 -0.00086680324897274658221 261.52379547844162744 -4.0659354821641948688e-06 1.1406923269906529943e-07 -1.8783206376239967927e-08 -6.48733837897312752e-09 1.2252740968429193374e-11 -2.7286560205842768728e-10 -1.2910587300932017635e-09 0.006322 -0.017306 -0.010617 -0.00086680324897274658221 152.02980418 429.84919407 186.42238208 152.02348170675219308 429.86649969825657536 186.43299956896268554 0.000468 -0.000700 0.000398 665.453180 -1821.401500 -1125.020543 0.864080 0.421839 -0.274623 2.9563097829817950313 545000000
42020.003523559828004 42020 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.003523559828004 42020.000511388888889 44.183999999999997499 -0.00086247517518637736595 260.25242754712536453 -4.0493687732524825734e-06 8.5499625184291920508e-09 -1.8791379314936763742e-08 -6.4874572026309238198e-09 1.2270189964147739966e-11 -2.7291070148929087912e-10 -1.2911684282357712343e-09 0.018429 0.000703 -0.010587 -0.00086247517518637736595 150.38096222 430.34810025 186.63093281 150.36253372337415612 430.34739686119002045 186.64151984304984921 0.000468 -0.000700 0.000398 1939.601355 74.030568 -1121.814887 0.864080 0.421839 -0.274623 64.017037831486646837 545000000
42020.203508547878457 42020.199999999999999 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42020.203508547878457 42020.200511388888888 44.183999999999997499 -0.00085572031821888985045 258.95538837104555796 -4.0323246609520612294e-06 1.1107193620040541753e-08 -1.879944995914037765e-08 -6.4875687313961684731e-09 1.2290798378119344906e-11 -2.7295580582078240471e-10 -1.2912769324727078434e-09 0.004983 0.017736 -0.010621 -0.00085572031821888985045 148.70472789 430.84071738 186.83711915 148.69974463233884876 430.82298150523774893 186.8477396771075405 0.000468 -0.000700 0.000398 524.501620 1866.684203 -1125.340267 0.864080 0.421839 -0.274623 43.729130284345160362 545000000
42029.802750402179363 42029.800000000000001 0 10->TAI->TT(TAI) 12 32.183999999999997499 0 0 0 42029.802750402179363 42029.800511388888889 44.183999999999997499 -0.00060767531324175080073 193.45135285851637263 -3.1249805243142676626e-06 3.8444777117294240176e-08 -1.9182454689189358529e-08 -6.4984573587553865592e-09 1.3740630084127051334e-11 -2.7467494838402033761e-10 -1.2962493672896817511e-09 0.009192 -0.015973 -0.010610 -0.00060767531324175080073 67.12483945 447.30337146 193.99277126 67.115647686020196261 447.31934398069302006 194.00338161386457614 0.000468 -0.000700 0.000398 967.443218 -1681.092944 -1124.269859 0.864080 0.421839 -0.274623 11.202588007492819244 545000000
