JD RV eRV RVbary
2456285.594074 1.49 1.16 -26711.069
2456285.595231 1.47 1.04 -26713.681
2456285.596354 2.1 1.15 -26716.205
2456501.941238 -2.51 1.13 25289.557
2456501.94235 -2.55 1.2 25286.696
2456501.943472 -3.76 1.15 25283.809
2456501.944572 0.79 1.11 25280.984
2456501.945648 -0.44 1.21 25278.221
2456502.921644 -0.97 1.21 25196.835
2456502.922789 -1.77 1.18 25193.848
2456502.923935 -1.15 1.17 25190.863
2456502.925093 0.3 1.18 25187.848
2456502.926296 -1.34 1.2 25184.714
2456504.924826 -1.11 1.24 24879.434
2456504.92765 -2.71 1.21 24872.061
2456507.944456 1 1.16 24309.277
2456507.945521 3.68 1.17 24306.556
2456507.946597 2.02 1.13 24303.809
2456507.947685 1.23 1.2 24301.039
2456509.94331 0.58 1.11 23929.015
2456509.944317 2.11 1.11 23926.445
2456509.945336 1.02 1.1 23923.851
2456509.946331 1.03 1.06 23921.32
2456509.94735 1.15 1.12 23918.735
2456552.758079 2.86 1.24 10375.807
2456552.759236 0.67 1.35 10372.488
2456552.76059 1.96 1.31 10368.6
2456552.762257 -0.9 1.33 10363.812
2456552.763669 0.6 1.32 10359.751
2456606.648623 -1.87 1.28 -13968.565
2456606.649792 -1.03 1.4 -13971.912
2456606.650903 -0.18 1.34 -13975.09
2456606.652002 -0.63 1.45 -13978.234
2456867.888194 -4.33 2.21 25326.811
2456867.915926 -0.6 1.11 25254.781
2456867.919919 -1.76 1.08 25244.357
2456883.883935 2.46 1.03 22076.282
2456883.885023 -0.43 1.03 22073.335
2456883.886065 -1.81 1.01 22070.515
2456883.887118 0.2 1.01 22067.665
2457028.56963 -3.66 1.19 -27657.954
2457028.570833 -4.45 1.23 -27660.451
2457028.572025 -2.94 1.18 -27662.912
2457028.573194 -2.3 1.24 -27665.313
2457205.946748 -0.52 1.16 26443.75
2457205.947766 -1.12 1.09 26441.391
2457205.948796 -1.62 1.1 26439.002
2457206.946447 -2.59 1.16 26495.141
2457206.947512 -0.99 1.2 26492.657
2457206.948565 0.08 1.11 26490.197
2457268.862801 0.55 1.15 15905.868
2457268.864016 -0.73 1.26 15902.549
2457268.865197 -1.77 1.18 15899.33
2457327.717662 -0.49 1.35 -10016.878
2457327.718819 -2.74 1.3 -10020.04
