 an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1902.60    0.199952    0.019683    0.028312    0.019208   0.0002638   0.0000000    0.245298    0.000000    0.014710    0.000000
   1902.65    0.171392    0.019648   -0.005919    0.016474  -0.0000052   0.0000000    0.244078    0.000000    0.014803    0.000000
   1902.70    0.157325    0.018003   -0.046188    0.019214  -0.0000429   0.0000000    0.243503    0.000000    0.014733    0.000000
   1902.75    0.085572    0.021002   -0.091065    0.022644   0.0001108   0.0000000    0.244088    0.000000    0.015543    0.000000
   1902.80    0.034272    0.018242   -0.108954    0.016389   0.0000496   0.0000000    0.245612    0.000000    0.015760    0.000000
   1902.85   -0.023230    0.019348   -0.094453    0.020130  -0.0001858   0.0000000    0.248134    0.000000    0.016478    0.000000
   1902.90   -0.068747    0.023279   -0.091431    0.020611   0.0002396   0.0000000    0.248844    0.000000    0.017394    0.000000
   1902.95   -0.132475    0.023705   -0.035298    0.023619  -0.0000638   0.0000000    0.250200    0.000000    0.018154    0.000000
   1903.00   -0.185180    0.023737    0.006113    0.023274  -0.0001264   0.0000000    0.250340    0.000000    0.018100    0.000000
   1903.05   -0.222698    0.024860    0.044259    0.022845   0.0003042   0.0000000    0.249936    0.000000    0.018224    0.000000
   1903.10   -0.234167    0.019910    0.065785    0.021456  -0.0001965   0.0000000    0.249733    0.000000    0.017623    0.000000
   1903.15   -0.212132    0.022847    0.130025    0.023476  -0.0000484   0.0000000    0.250178    0.000000    0.016414    0.000000
   1903.20   -0.175226    0.023817    0.192067    0.022812   0.0001385   0.0000000    0.250687    0.000000    0.015273    0.000000
   1903.25   -0.171256    0.020149    0.183775    0.020688  -0.0000856   0.0000000    0.251303    0.000000    0.014422    0.000000
   1903.30   -0.138088    0.021350    0.226388    0.018853  -0.0000548   0.0000000    0.251880    0.000000    0.013748    0.000000
   1903.35   -0.049035    0.019373    0.282005    0.017305   0.0001659   0.0000000    0.251655    0.000000    0.013940    0.000000
   1903.40    0.001248    0.019149    0.249453    0.021024  -0.0000563   0.0000000    0.250114    0.000000    0.013573    0.000000
   1903.45    0.052835    0.018423    0.270803    0.019673  -0.0001272   0.0000000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081218    0.016134    0.254335    0.017305   0.0002658   0.0000000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148622    0.017931    0.236628    0.018796  -0.0001974   0.0000000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183190    0.015992    0.189013    0.018217  -0.0000926   0.0000000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219403    0.015079    0.103970    0.017656   0.0002390   0.0000000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213262    0.020313    0.081609    0.021653  -0.0001588   0.0000000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185057    0.018174   -0.009024    0.021930   0.0000161   0.0000000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148750    0.021923   -0.061855    0.017105   0.0002027   0.0000000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127468    0.024638   -0.108060    0.022901  -0.0001052   0.0000000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089371    0.027682   -0.098396    0.021108  -0.0001567   0.0000000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011787    0.029388   -0.093820    0.023484   0.0001230   0.0000000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076468    0.029484   -0.075232    0.026066  -0.0001434   0.0000000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134550    0.026092   -0.079094    0.023418  -0.0000681   0.0000000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172281    0.024163   -0.026550    0.021362   0.0002845   0.0000000    0.243536    0.000000    0.018187    0.000000
   1904.15   -0.193048    0.031573    0.021541    0.032877  -0.0002434   0.0000000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219878    0.022199    0.005772    0.028859   0.0000673   0.0000000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202001    0.023385    0.077094    0.021582   0.0002182   0.0000000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184660    0.032040    0.127896    0.024838  -0.0002492   0.0000000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159077    0.019006    0.153422    0.021033   0.0000497   0.0000000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120147    0.022960    0.233786    0.021692   0.0001583   0.0000000    0.244013    0.000000    0.014755    0.000000
   1904.45   -0.057846    0.016987    0.243980    0.017522  -0.0001151   0.0000000    0.241554    0.000000    0.014413    0.000000
   1904.50    0.000592    0.015368    0.249464    0.016865  -0.0000032   0.0000000    0.238924    0.000000    0.014654    0.000000
   1904.55    0.064134    0.017530    0.250016    0.019407   0.0002563   0.0000000    0.235455    0.000000    0.015007    0.000000
   1904.60    0.100728    0.013989    0.206087    0.016489  -0.0001892   0.0000000    0.232227    0.000000    0.015023    0.000000
   1904.65    0.123809    0.014821    0.177222    0.014584  -0.0000250   0.0000000    0.231629    0.000000    0.015068    0.000000
   1904.70    0.156443    0.016336    0.139147    0.016712   0.0001691   0.0000000    0.230214    0.000000    0.015713    0.000000
   1904.75    0.167475    0.020984    0.118629    0.021590  -0.0003380   0.0000000    0.231146    0.000000    0.015418    0.000000
   1904.80    0.155235    0.019596    0.071067    0.018005   0.0000979   0.0000000    0.233364    0.000000    0.015992    0.000000
   1904.85    0.148988    0.021608    0.033420    0.018520   0.0001082   0.0000000    0.234806    0.000000    0.017457    0.000000
   1904.90    0.107677    0.028158    0.024444    0.025413  -0.0001201   0.0000000    0.236326    0.000000    0.018073    0.000000
   1904.95    0.118858    0.026883   -0.006835    0.026250   0.0000919   0.0000000    0.237450    0.000000    0.018605    0.000000
   1905.00    0.064304    0.022409   -0.053608    0.025719   0.0001442   0.0000000    0.237418    0.000000    0.019336    0.000000
   1905.05    0.009213    0.024028   -0.103037    0.026650  -0.0001654   0.0000000    0.237127    0.000000    0.019297    0.000000
   1905.10   -0.031101    0.026435   -0.117588    0.022493  -0.0000637   0.0000000    0.237499    0.000000    0.018419    0.000000
   1905.15   -0.079960    0.027290   -0.055129    0.023470   0.0002166   0.0000000    0.237449    0.000000    0.017756    0.000000
   1905.20   -0.170980    0.022995   -0.070859    0.022130  -0.0003524   0.0000000    0.238337    0.000000    0.016580    0.000000
   1905.25   -0.180553    0.018228   -0.062164    0.018196   0.0000926   0.0000000    0.239113    0.000000    0.015690    0.000000
   1905.30   -0.171487    0.023250   -0.023543    0.023549   0.0001687   0.0000000    0.238978    0.000000    0.015184    0.000000
   1905.35   -0.196145    0.019233    0.044435    0.019681  -0.0001920   0.0000000    0.238697    0.000000    0.014534    0.000000
   1905.40   -0.159918    0.019622    0.077279    0.020549   0.0001814   0.0000000    0.237570    0.000000    0.014650    0.000000
   1905.45   -0.152917    0.020042    0.123667    0.021425   0.0000290   0.0000000    0.235537    0.000000    0.015675    0.000000
   1905.50   -0.110394    0.018163    0.156617    0.021276  -0.0001235   0.0000000    0.232664    0.000000    0.015305    0.000000
   1905.55   -0.056595    0.017762    0.176891    0.018954   0.0000757   0.0000000    0.230244    0.000000    0.015220    0.000000
   1905.60   -0.004122    0.018410    0.204734    0.019339   0.0001451   0.0000000    0.227508    0.000000    0.015461    0.000000
   1905.65    0.038171    0.017995    0.194048    0.018129  -0.0001036   0.0000000    0.225441    0.000000    0.015593    0.000000
   1905.70    0.075184    0.017599    0.177097    0.018675   0.0001258   0.0000000    0.225980    0.000000    0.015683    0.000000
   1905.75    0.089670    0.022716    0.174498    0.017056   0.0001605   0.0000000    0.226112    0.000000    0.016374    0.000000
   1905.80    0.108781    0.025741    0.144177    0.025094  -0.0003166   0.0000000    0.227904    0.000000    0.016432    0.000000
   1905.85    0.149536    0.023275    0.120677    0.020264   0.0002145   0.0000000    0.229854    0.000000    0.017517    0.000000
   1905.90    0.142691    0.024964    0.083079    0.020220  -0.0000360   0.0000000    0.231289    0.000000    0.018771    0.000000
   1905.95    0.133380    0.024032    0.061688    0.025317  -0.0001604   0.0000000    0.232440    0.000000    0.019292    0.000000
   1906.00    0.098785    0.023887    0.013585    0.019670   0.0001878   0.0000000    0.232629    0.000000    0.019690    0.000000
   1906.05    0.029930    0.021642   -0.031391    0.020366   0.0000181   0.0000000    0.232447    0.000000    0.019879    0.000000
   1906.10   -0.022537    0.024598   -0.051204    0.015702  -0.0000949   0.0000000    0.232373    0.000000    0.019158    0.000000
   1906.15   -0.048528    0.018031   -0.033041    0.019097   0.0000868   0.0000000    0.233052    0.000000    0.017882    0.000000
   1906.20   -0.083777    0.021684   -0.021575    0.021066   0.0000134   0.0000000    0.233205    0.000000    0.017010    0.000000
   1906.25   -0.100163    0.021429   -0.019581    0.019118  -0.0001696   0.0000000    0.234417    0.000000    0.016310    0.000000
   1906.30   -0.116477    0.016746   -0.026461    0.016034   0.0002217   0.0000000    0.234784    0.000000    0.015875    0.000000
   1906.35   -0.135221    0.020529    0.005511    0.018002  -0.0000090   0.0000000    0.233651    0.000000    0.015751    0.000000
   1906.40   -0.152488    0.015675    0.033478    0.016190  -0.0001926   0.0000000    0.233001    0.000000    0.015372    0.000000
   1906.45   -0.141174    0.014322    0.081087    0.015546   0.0002697   0.0000000    0.230788    0.000000    0.015951    0.000000
   1906.50   -0.120097    0.017466    0.105399    0.016698  -0.0001099   0.0000000    0.227622    0.000000    0.016511    0.000000
   1906.55   -0.106461    0.014677    0.115363    0.015366  -0.0000807   0.0000000    0.225339    0.000000    0.016086    0.000000
   1906.60   -0.096327    0.013216    0.130544    0.016962   0.0001503   0.0000000    0.223354    0.000000    0.016098    0.000000
   1906.65   -0.057885    0.014705    0.114884    0.015208   0.0000182   0.0000000    0.221567    0.000000    0.016356    0.000000
   1906.70   -0.034662    0.015437    0.135154    0.014283  -0.0001519   0.0000000    0.221377    0.000000    0.016397    0.000000
   1906.75   -0.030636    0.017761    0.140360    0.019039   0.0001320   0.0000000    0.222424    0.000000    0.017069    0.000000
   1906.80   -0.026711    0.017623    0.123334    0.016304  -0.0000521   0.0000000    0.224033    0.000000    0.017671    0.000000
   1906.85    0.029205    0.025988    0.189500    0.019900  -0.0002990   0.0000000    0.226124    0.000000    0.018312    0.000000
   1906.90   -0.000146    0.019448    0.169070    0.016935   0.0002791   0.0000000    0.227438    0.000000    0.019516    0.000000
   1906.95    0.007596    0.021164    0.178295    0.022834   0.0000395   0.0000000    0.228109    0.000000    0.020410    0.000000
   1907.00    0.028722    0.026198    0.195485    0.021823  -0.0001436   0.0000000    0.229504    0.000000    0.020479    0.000000
   1907.05    0.030697    0.023320    0.122732    0.025628   0.0002695   0.0000000    0.229415    0.000000    0.020675    0.000000
   1907.10    0.005827    0.022996    0.058971    0.025124  -0.0000255   0.0000000    0.229316    0.000000    0.020117    0.000000
   1907.15    0.011178    0.017749    0.086021    0.018122  -0.0001118   0.0000000    0.230271    0.000000    0.018909    0.000000
   1907.20    0.025928    0.019150    0.045465    0.018844   0.0001488   0.0000000    0.230832    0.000000    0.017842    0.000000
   1907.25    0.010124    0.017947    0.033986    0.018053  -0.0000638   0.0000000    0.230900    0.000000    0.017094    0.000000
   1907.30    0.037526    0.017418   -0.010294    0.018274  -0.0002070   0.0000000    0.232205    0.000000    0.016631    0.000000
   1907.35   -0.004584    0.016072   -0.015713    0.017205   0.0002069   0.0000000    0.232001    0.000000    0.016617    0.000000
   1907.40   -0.018300    0.016881   -0.015098    0.016663  -0.0000702   0.0000000    0.229964    0.000000    0.016777    0.000000
   1907.45   -0.007073    0.015866   -0.041034    0.017103  -0.0002148   0.0000000    0.228902    0.000000    0.016608    0.000000
   1907.50   -0.041906    0.014404   -0.054229    0.013666   0.0002853   0.0000000    0.225898    0.000000    0.017169    0.000000
   1907.55   -0.039532    0.013422   -0.066710    0.013739  -0.0000728   0.0000000    0.222122    0.000000    0.017345    0.000000
   1907.60   -0.062741    0.013809   -0.045579    0.013722  -0.0000488   0.0000000    0.220831    0.000000    0.016910    0.000000
   1907.65   -0.084767    0.012077   -0.038006    0.012717   0.0002441   0.0000000    0.219072    0.000000    0.017344    0.000000
