t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.0529 720.1250782631653 402.75769159697023 719.9750782631653 407.75519159697023 720.2750782631653 397.76019159697023 F
1990.1638 780.6423814168671 339.85414961073354 782.4393814168671 344.51964961073355 778.8453814168671 335.18864961073353 F
1990.165 764.7532083692249 345.85398857432654 766.404708369225 350.5734885743265 763.1017083692249 341.13448857432655 F
1990.1928 776.4599062588652 340.1555091659211 774.2709062588652 344.6510091659211 778.6489062588652 335.6600091659211 F
1990.1941 783.9504036176968 343.6469270316794 781.5989036176968 348.05942703167943 786.3019036176968 339.2344270316794 F
1990.3387 806.0866007054594 388.4131511849666 802.2201007054595 391.5831511849666 809.9531007054594 385.24315118496656 F
1990.3984 784.1128724823526 424.2111184424542 780.8218724823525 420.4471184424542 787.4038724823527 427.97511844245423 F
1990.4843 708.0814067509209 459.54345138127155 703.1589067509209 460.4199513812716 713.0039067509209 458.66695138127153 F
1990.5782 575.0628758786097 467.74005940463707 575.6453758786097 462.77455940463705 574.4803758786097 472.7055594046371 F
1990.622 497.7399308312801 451.84173278034365 493.8889308312801 448.6527327803436 501.5909308312801 455.03073278034367 F
1990.7447 279.8607223133213 356.6044086470131 283.0667223133213 352.7674086470131 276.65472231332126 360.4414086470131 F
1990.7459 274.91592798856607 352.618371489603 277.9924279885661 348.676871489603 271.83942798856606 356.55987148960304 F
1990.7472 257.0868887046153 339.6342339473952 260.0153887046153 335.5812339473952 254.1583887046153 343.6872339473952 F
1990.7483 271.40477124942663 349.86565169887484 274.2062712494266 345.72415169887483 268.60327124942665 354.00715169887485 F
1990.7495 266.82864138478675 346.67059996734844 269.48764138478674 342.4360999673484 264.16964138478676 350.90509996734846 F
1990.8686 94.60915699501284 183.63857710563275 98.85765699501283 186.27457710563274 90.36065699501285 181.00257710563275 F
1990.9123 57.898813301354345 117.7753450979122 62.348313301354345 115.49434509791219 53.449313301354344 120.0563450979122 F
1991.0837 29.0365947449321 -77.67173041687344 33.5950947449321 -75.61823041687344 24.4780947449321 -79.72523041687344 F
1991.1372 51.31860488849234 -108.0366638933787 49.75010488849234 -103.2891638933787 52.88710488849234 -112.7841638933787 F
1991.2794 107.92785611379934 -94.09598901541716 104.73535611379934 -90.24798901541716 111.12035611379933 -97.94398901541716 F
1991.2807 104.81630385747451 -96.2671412728403 101.49280385747451 -92.5316412728403 108.1398038574745 -100.00264127284031 F
1991.2818 103.35229393236565 -97.31290861385754 99.91129393236565 -93.68590861385755 106.79329393236566 -100.93990861385754 F
