t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.0384 99.16666780958701 754.4820586072623 100.62566780958701 759.2640586072623 97.70766780958701 749.7000586072622 F
1990.0712 63.700163993435574 746.3850937584642 68.42416399343557 748.0220937584642 58.97616399343558 744.7480937584643 F
1990.1747 -15.98170140718671 732.8520719719966 -12.98320140718671 736.8535719719965 -18.980201407186712 728.8505719719966 F
1990.2549 -35.76852757737836 735.7212318332668 -32.655027577378355 731.8092318332667 -38.88202757737836 739.6332318332668 F
1990.3109 -19.16347112652264 736.585218107817 -14.313471126522641 737.800218107817 -24.01347112652264 735.370218107817 F
1990.4275 60.257837388304594 707.007371619345 61.272837388304595 702.111371619345 59.242837388304594 711.903371619345 F
1990.4286 60.10010311202495 706.1622043203133 61.26560311202495 701.2997043203134 58.934603112024945 711.0247043203133 F
1990.4299 62.1005682472981 705.6717875358286 63.4260682472981 700.8507875358285 60.7750682472981 710.4927875358286 F
1990.4323 62.76125020327288 703.8479181677252 64.40625020327288 699.1264181677252 61.11625020327288 708.5694181677252 F
1990.4347 67.95793690439845 703.6908034103501 69.91043690439845 699.0878034103501 66.00543690439845 708.29380341035 F
1990.4359 68.97522145196984 703.0428274229184 71.06972145196984 698.5028274229185 66.88072145196985 707.5828274229184 F
1990.4372 70.71077775338506 702.6464835481357 72.95877775338506 698.1804835481357 68.46277775338505 707.1124835481357 F
1990.5648 185.73942011158488 591.4239663180135 181.25242011158488 589.2179663180135 190.22642011158487 593.6299663180135 F
1990.566 185.5502937995994 592.4686910134725 181.1247937995994 590.1421910134725 189.9757937995994 594.7951910134725 F
1990.594 209.97742575978788 559.060189404113 208.13542575978786 554.412189404113 211.8194257597879 563.708189404113 F
1990.6972 243.42248189116202 415.97105543907725 239.26598189116203 418.75005543907724 247.57898189116202 413.19205543907725 F
1990.7677 233.5124653837225 317.6206295048393 229.3109653837225 314.91062950483933 237.71396538372252 320.3306295048393 F
1990.8358 196.32827647075615 221.14801785222966 194.20877647075616 225.67601785222965 198.44777647075614 216.62001785222967 F
1990.837 188.14488002258994 216.32518518159557 186.13588002258996 220.90318518159557 190.15388002258993 211.74718518159557 F
1991.1189 -115.94085890712954 20.058130761371444 -113.74985890712954 24.552630761371447 -118.13185890712954 15.563630761371444 F
1991.1846 -156.99861822090025 21.499091854568068 -152.79161822090026 18.79759185456807 -161.20561822090025 24.200591854568067 F
1991.2575 -173.121917732762 28.44784742399145 -168.914917732762 31.14884742399145 -177.328917732762 25.74684742399145 F
1991.3571 -132.77683061842916 16.99653970946711 -131.13183061842915 12.275039709467112 -134.42183061842917 21.71803970946711 F
1991.3887 -107.95267941176542 10.337743361772278 -103.44467941176542 8.175243361772278 -112.46067941176541 12.500243361772277 F
1991.5175 5.067490283563285 -69.78498064268007 3.074490283563285 -74.37048064268006 7.0604902835632855 -65.19948064268007 F
1991.5187 6.941641459203094 -71.26573486503791 5.100641459203094 -75.91423486503791 8.782641459203095 -66.61723486503791 F
1991.5199 10.23914893627953 -73.19977443464816 8.56064893627953 -77.90977443464816 11.91764893627953 -68.48977443464817 F
1991.5211 12.308757636012043 -74.58468695951167 10.783257636012044 -79.34618695951167 13.834257636012042 -69.82318695951167 F
1991.5224 12.19486617488984 -75.35055257522934 10.83536617488984 -80.16205257522934 13.554366174889841 -70.53905257522935 F
1991.5236 9.070292848520866 -75.40031012195743 7.8647928485208665 -80.25281012195744 10.275792848520867 -70.54781012195743 F
1991.6428 96.27439686168722 -211.2162908212666 91.43739686168722 -209.9502908212666 101.11139686168723 -212.4822908212666 F
1991.78 89.74643435844771 -418.76563496564097 86.84743435844771 -414.69213496564095 92.64543435844772 -422.839134965641 F
1991.7811 98.03004877499126 -414.19638944856666 95.18204877499126 -410.08788944856667 100.87804877499126 -418.30488944856666 F
1991.8821 13.446914207571265 -551.2573704236208 8.665914207571264 -549.7933704236208 18.227914207571267 -552.7213704236209 F
1991.8832 12.250541232579975 -552.7045551724295 7.516041232579975 -551.0970551724296 16.985041232579974 -554.3120551724295 F
1991.9184 -26.32227254410978 -590.4410076618127 -27.51627254410978 -585.5855076618127 -25.12827254410978 -595.2965076618127 F
1991.9195 -37.71046154410932 -593.7044171342175 -38.75596154410932 -588.8149171342175 -36.664961544109325 -598.5939171342175 F
1992.0641 -201.6960365750942 -683.1793309666875 -200.1635365750942 -678.4198309666875 -203.2285365750942 -687.9388309666875 F
1992.0653 -204.201380089157 -683.0863337325546 -202.517880089157 -678.3788337325547 -205.884880089157 -687.7938337325546 F
1992.1115 -247.55203672985397 -687.6768379656262 -242.56203672985396 -687.9918379656262 -252.54203672985398 -687.3618379656261 F
1992.2888 -298.23132954362933 -687.9559445647586 -295.63682954362935 -692.2299445647586 -300.8258295436293 -683.6819445647586 F
1992.3373 -280.4801925516564 -692.8269058684594 -275.4851925516564 -692.5989058684595 -285.4751925516564 -693.0549058684594 F
1992.8644 -106.13314764413782 -1244.7006783417607 -107.81814764413782 -1239.9931783417608 -104.44814764413782 -1249.4081783417607 F
1993.1182 -384.0724644998145 -1410.5912243541939 -381.8839644998145 -1406.0957243541939 -386.26096449981446 -1415.0867243541938 F
1993.1847 -433.58213314712845 -1410.5669851271812 -429.38563314712843 -1413.2854851271811 -437.77863314712846 -1407.8484851271812 F
