t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.4262 -781.1850548232001 -393.92496622755573 -782.7870548232 -398.6609662275557 -779.5830548232001 -389.18896622755574 F
1990.5161 -637.4659826912906 -379.03405176264437 -642.1384826912906 -377.25555176264436 -632.7934826912906 -380.8125517626444 F
1990.9719 -570.2063211019552 -301.95043593532364 -568.5013211019551 -297.25043593532365 -571.9113211019552 -306.6504359353236 F
1991.0958 -398.0948176351028 -143.43515313582574 -394.1728176351028 -140.33415313582574 -402.0168176351028 -146.53615313582574 F
1991.4616 488.97058956801453 264.1432145793331 484.09558956801453 265.2522145793331 493.84558956801453 263.03421457933314 F
1991.4628 498.33283360946785 296.84351156081055 493.45233360946787 297.92501156081056 503.21333360946784 295.76201156081055 F
1991.5977 646.7827009292283 255.31394054398862 642.1432009292283 257.1774405439886 651.4222009292283 253.45044054398863 F
1991.9209 618.9135142764135 293.7845568551222 620.5320142764135 298.5150568551222 617.2950142764134 289.0540568551222 F
1992.4102 1595.623350619568 901.7386865911037 1590.6303506195682 901.4731865911037 1600.616350619568 902.0041865911037 F
1992.8753 1829.0893095719377 906.515307608832 1831.6418095719378 910.814807608832 1826.5368095719377 902.215807608832 F
1992.9106 1827.0754057122472 939.3868480916872 1832.055905712247 939.8253480916871 1822.0949057122473 938.9483480916872 F
1992.9992 1876.8297436393768 1018.9782438469533 1881.3947436393769 1021.0177438469533 1872.2647436393768 1016.9387438469533 F
1993.095 2018.627900700562 1151.7227754585301 2022.5314007005618 1154.84727545853 2014.724400700562 1148.5982754585302 F
