t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.0069 -7206.041331375057 2864.0740108180057 -7202.7313313750565 2867.8215108180057 -7209.351331375057 2860.3265108180058 F
1990.374 -4761.132260085158 2191.1141679082784 -4766.1297600851585 2191.2681679082784 -4756.134760085158 2190.9601679082784 F
1990.4432 -4335.545251837243 1984.2619228136505 -4337.442751837243 1979.6364228136504 -4333.647751837243 1988.8874228136506 F
1990.5128 -3946.2700710338095 1759.9208773671066 -3950.7785710338094 1762.0823773671066 -3941.7615710338096 1757.7593773671067 F
1990.825 -2511.5369126838323 837.4297193963256 -2511.049912683832 842.4057193963256 -2512.0239126838324 832.4537193963256 F
1990.8832 -2238.6700754862704 718.7552922555216 -2233.6740754862703 718.5627922555216 -2243.6660754862705 718.9477922555216 F
1990.9561 -1868.4286674117477 602.218375525399 -1866.3421674117478 606.761375525399 -1870.5151674117476 597.675375525399 F
1990.9573 -1859.5101402725206 599.3296910737246 -1857.4331402725206 603.8771910737246 -1861.5871402725206 594.7821910737246 F
1991.0572 -1265.562196567488 459.1522612762862 -1261.0361965674879 457.0272612762862 -1270.088196567488 461.2772612762862 F
1991.0581 -1258.1932424613503 461.77794376050105 -1253.6177424613504 459.76344376050105 -1262.7687424613503 463.79244376050104 F
1991.0739 -1159.065221580967 435.5972979372467 -1154.068221580967 435.7632979372467 -1164.0622215809672 435.4312979372467 F
1991.075 -1151.8385123277196 432.35771854396285 -1146.8485123277196 432.66821854396284 -1156.8285123277196 432.04721854396286 F
1991.3219 532.2441185757053 -13.687295719660558 527.4881185757054 -15.229795719660558 537.0001185757053 -12.144795719660557 F
1991.3705 851.4500347363829 -139.15229713521202 850.625534736383 -144.08379713521202 852.2745347363829 -134.22079713521202 F
1991.5684 1973.5537195354016 -764.0689591035188 1968.7077195354016 -765.3004591035187 1978.3997195354016 -762.8374591035188 F
1991.5697 1979.0985017081205 -764.9869535705383 1974.2135017081205 -766.0539535705383 1983.9835017081205 -763.9199535705383 F
1991.571 1986.2802091207789 -773.6155091753125 1981.3612091207788 -774.5110091753124 1991.199209120779 -772.7200091753125 F
1991.5722 1994.489132921335 -794.1054765794028 1989.543632921335 -794.8419765794027 1999.4346329213352 -793.3689765794028 F
1991.5819 2039.0057875947132 -802.4461962840774 2034.0407875947133 -801.8566962840773 2043.970787594713 -803.0356962840774 F
1991.5831 2045.0367829605138 -805.5392888129105 2040.0932829605138 -804.7912888129105 2049.9802829605137 -806.2872888129106 F
1991.5855 2055.2642088859584 -820.838995966182 2050.3782088859584 -819.777495966182 2060.1502088859584 -821.900495966182 F
1991.7788 2912.814282104563 -1391.4198107203035 2914.174282104563 -1386.6083107203035 2911.454282104563 -1396.2313107203036 F
1991.78 2919.622761251842 -1394.786999345077 2921.150261251842 -1390.025999345077 2918.0952612518417 -1399.547999345077 F
1991.8018 3017.1297713159606 -1447.741614205773 3021.1142713159607 -1444.721114205773 3013.1452713159606 -1450.762114205773 F
1991.8031 3023.25072361424 -1451.2546095692085 3027.3387236142403 -1448.3756095692086 3019.16272361424 -1454.1336095692084 F
1991.9876 3947.913372939029 -1787.1752685068343 3952.504372939029 -1789.1552685068343 3943.3223729390293 -1785.1952685068343 F
1992.0313 4207.976525336708 -1844.169441113813 4211.9485253367075 -1841.132941113813 4204.004525336708 -1847.205941113813 F
1992.2754 5846.883869668681 -2237.8158327741744 5843.66336966868 -2241.6403327741746 5850.104369668681 -2233.991332774174 F
1992.2766 5852.420360944381 -2238.4324364909453 5849.315860944381 -2242.351436490945 5855.5248609443815 -2234.5134364909454 F
1992.2973 5998.716423900636 -2289.534474472183 5998.142923900636 -2294.501474472183 5999.2899239006365 -2284.5674744721828 F
1992.4004 6672.823111625897 -2565.3764255169776 6667.886611625897 -2564.584925516978 6677.7596116258965 -2566.1679255169774 F
1992.4802 7150.189372325257 -2812.3408070765313 7147.551372325257 -2816.5883070765312 7152.827372325257 -2808.0933070765313 F
1992.54 7464.829965888948 -3004.0107118465016 7460.368465888948 -3001.7532118465015 7469.291465888949 -3006.268211846502 F
1992.8546 8898.611480285877 -3901.4164157098035 8899.247480285878 -3896.4569157098035 8897.975480285877 -3906.3759157098034 F
1992.9201 9216.456119187824 -4013.9388804821383 9221.344619187823 -4014.9878804821383 9211.567619187825 -4012.8898804821383 F
1993.0562 9996.896341662035 -4214.045899745176 10001.436841662035 -4216.139399745176 9992.355841662036 -4211.952399745176 F
1993.073 10102.980861144393 -4231.787471960258 10107.976361144394 -4231.582971960258 10097.985361144392 -4231.991971960258 F
