t obsX obsY barStartX barStartY barEndX barEndY consortium
1989.9981 1632.8859660028886 -2504.39464927923 1636.2679660028887 -2500.7121492792303 1629.5039660028885 -2508.07714927923 F
1990.0761 1707.8331591538786 -2303.343531376606 1703.0931591538786 -2301.753031376606 1712.5731591538786 -2304.9340313766056 F
1990.1538 1643.1216174368308 -2133.944425813649 1641.7621174368307 -2129.133425813649 1644.4811174368308 -2138.7554258136493 F
1990.2342 1609.312992952066 -1823.1107969299746 1605.495492952066 -1826.3397969299747 1613.130492952066 -1819.8817969299746 F
1990.3071 1514.311891150111 -1575.020034812036 1509.603391150111 -1573.3415348120361 1519.020391150111 -1576.698534812036 F
1990.3083 1526.5875080131846 -1528.3625117519985 1521.8645080131846 -1526.7225117519984 1531.3105080131845 -1530.0025117519986 F
1990.4627 1100.7832660149222 -1136.932306519032 1096.6972660149222 -1139.813806519032 1104.8692660149222 -1134.050806519032 F
1990.5575 824.8311503182792 -971.7227402351856 829.2961503182793 -973.9732402351856 820.3661503182792 -969.4722402351856 F
1990.6195 607.6754086334563 -931.2527945418587 607.7369086334563 -936.2517945418588 607.6139086334563 -926.2537945418587 F
1990.6207 616.1885153419356 -930.3912715257455 616.2520153419356 -935.3897715257456 616.1250153419356 -925.3927715257455 F
1990.713 441.4120645713206 -902.7326206746925 445.79656457132063 -900.3296206746925 437.0275645713206 -905.1356206746925 F
1990.7774 338.3178324449736 -915.6109268669927 342.4768324449736 -918.3844268669927 334.1588324449736 -912.8374268669927 F
1990.7787 340.76903973423003 -909.9795254443044 344.94203973423004 -912.7320254443044 336.59603973423003 -907.2270254443043 F
1990.8637 329.4808266563937 -879.2309339860938 330.06782665639366 -874.2659339860937 328.8938266563937 -884.1959339860938 F
1990.9354 289.76012020569567 -778.4163309491794 294.33512020569566 -776.3988309491793 285.1851202056957 -780.4338309491794 F
1991.0144 347.91026830003517 -688.985543411322 344.1717683000352 -685.6660434113221 351.64876830003516 -692.305043411322 F
1991.091 415.29045870827554 -518.1445476900727 415.9669587082755 -513.1910476900728 414.61395870827556 -523.0980476900727 F
1991.0922 441.7160831307951 -517.1991826572503 442.3170831307951 -512.2361826572503 441.1150831307951 -522.1621826572502 F
1991.2465 281.5931983614366 -0.3356911434400076 277.81469836143657 2.9383088565599924 285.3716983614366 -3.6096911434400076 F
1991.3316 127.02447587217459 297.4975905132155 125.72947587217459 292.66809051321553 128.3194758721746 302.3270905132155 F
1991.4009 -42.29903104494532 506.0032997346562 -47.16503104494532 504.8532997346562 -37.433031044945324 507.1532997346562 F
1991.4932 -285.8076662598003 745.6103355736958 -282.52816625980034 741.8368355736958 -289.0871662598003 749.3838355736958 F
1991.651 -758.947541678434 883.1210885540345 -753.9805416784341 883.6940885540345 -763.914541678434 882.5480885540345 F
1991.7142 -821.1578709121045 946.8021286274 -818.3613709121045 942.6581286274 -823.9543709121045 950.9461286274 F
1991.8031 -1058.0839235115125 940.9514303821636 -1055.6859235115126 945.3379303821636 -1060.4819235115124 936.5649303821637 F
1991.8722 -1027.311820529226 954.280997982583 -1022.312320529226 954.313497982583 -1032.311320529226 954.248497982583 F
1991.9536 -1054.9276335420657 984.0462761700668 -1057.1151335420657 988.5422761700668 -1052.7401335420657 979.5502761700668 F
1992.1078 -954.6295629378953 1373.6250084528647 -959.5970629378953 1374.1885084528647 -949.6620629378954 1373.0615084528647 F
1992.2669 -1050.915846926843 1859.9016082471023 -1053.988346926843 1855.9571082471023 -1047.843346926843 1863.8461082471024 F
1992.3386 -1213.8309294076246 2104.5686925101704 -1218.7754294076246 2105.3116925101704 -1208.8864294076245 2103.8256925101705 F
1992.4296 -1388.7748436717193 2405.723383624212 -1387.1623436717193 2400.991383624212 -1390.3873436717192 2410.455383624212 F
1992.494 -1672.4159109096042 2551.176962992029 -1675.8734109096042 2547.565462992029 -1668.9584109096043 2554.788462992029 F
1992.5889 -1923.7742015665087 2658.380950722008 -1918.9592015665087 2657.033950722008 -1928.5892015665088 2659.7279507220082 F
1992.8934 -2360.462074083709 2745.6712561716226 -2360.807074083709 2750.658756171623 -2360.117074083709 2740.6837561716225 F
