t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.2255 3513.9563493697856 1294.7515736422104 3508.9808493697856 1294.2620736422105 3518.9318493697856 1295.2410736422103 F
1990.2694 3409.631594485283 1233.5133608768256 3407.6365944852832 1228.9288608768256 3411.626594485283 1238.0978608768255 F
1990.3534 3165.4603071129304 1095.0105833410553 3160.9963071129305 1097.2620833410554 3169.9243071129304 1092.7590833410552 F
1990.707 1625.8557148892464 499.4855482745173 1630.2522148892465 501.8665482745173 1621.4592148892464 497.10454827451736 F
1990.8176 1170.0909312007702 407.23694101289226 1172.2749312007702 411.73494101289225 1167.9069312007703 402.73894101289227 F
1990.9026 904.1721647744748 361.16999741968635 908.5536647744748 358.7624974196863 899.7906647744749 363.5774974196864 F
1991.3 69.09906603819866 37.51493831400672 64.39706603819866 39.21493831400672 73.80106603819866 35.81493831400672 F
1991.3789 -179.35932107490106 -98.96791361480543 -182.42632107490107 -102.91591361480542 -176.29232107490105 -95.01991361480543 F
1991.3801 -185.1961342253991 -99.93346807068856 -188.3371342253991 -103.82296807068856 -182.05513422539912 -96.04396807068856 F
1991.7654 -1881.0074971038744 -704.8909182394558 -1878.9834971038745 -700.3189182394558 -1883.0314971038742 -709.4629182394558 F
1991.8941 -2331.9294695836447 -780.7315207005853 -2328.648469583645 -776.9590207005853 -2335.2104695836447 -784.5040207005853 F
1992.2487 -3057.2989229420723 -1034.3044016738618 -3062.2709229420725 -1033.7784016738617 -3052.326922942072 -1034.8304016738618 F
1992.381 -3447.4606030048453 -1249.3167809156564 -3451.8586030048455 -1246.9377809156565 -3443.062603004845 -1251.6957809156563 F
1992.9445 -5722.522005721399 -1948.9929987170267 -5717.9430057213995 -1950.9999987170268 -5727.101005721399 -1946.9859987170266 F
1992.9458 -5725.486733443578 -1949.1101749290865 -5720.841233443578 -1950.9591749290864 -5730.132233443577 -1947.2611749290866 F
1992.9613 -5761.684324010949 -1955.0415669134788 -5756.6943240109495 -1954.7245669134788 -5766.674324010949 -1955.3585669134789 F
1992.9626 -5764.8175627108385 -1953.6538504321245 -5759.843062710838 -1953.1528504321245 -5769.792062710839 -1954.1548504321245 F
