t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.3606 -668.0572366383047 685.2382664918869 -672.8732366383048 686.5822664918869 -663.2412366383047 683.8942664918868 F
1990.4931 -547.9608973781882 572.4926640466067 -552.8063973781882 573.7261640466068 -543.1153973781882 571.2591640466067 F
1990.8395 -566.2767346475267 197.76093140428517 -563.7492346475267 202.07493140428517 -568.8042346475268 193.44693140428518 F
1990.8965 -530.6089262217433 157.2734603001823 -525.8814262217434 155.64696030018231 -535.3364262217433 158.8999603001823 F
1990.9646 -459.4706934477111 122.52169719437528 -456.98569344771107 126.86019719437527 -461.9556934477111 118.18319719437528 F
1991.3122 217.04171679852274 36.95922524925439 212.04171679852274 36.960225249254385 222.04171679852274 36.95822524925439 F
1991.3584 291.7014248943256 11.085078587836307 289.5439248943256 6.5745785878363066 293.85892489432564 15.595578587836307 F
1991.7981 391.16172374135516 -447.0202780212254 395.24372374135515 -444.1332780212254 387.07972374135517 -449.9072780212254 F
1991.7992 386.8320559833548 -441.494460953333 390.9950559833548 -438.72546095333297 382.6690559833548 -444.263460953333 F
1991.8187 392.7667568440908 -464.0073106086256 397.7622568440908 -463.7998106086256 387.77125684409083 -464.21481060862556 F
1991.82 393.00233084397775 -463.6733560405447 398.00233084397775 -463.63635604054474 388.00233084397775 -463.7103560405447 F
1991.9148 448.25903103501787 -531.5739216697723 450.32503103501784 -527.0214216697723 446.1930310350179 -536.1264216697723 F
1992.0058 558.6933166966743 -568.2483894284529 563.5978166966743 -569.2208894284529 553.7888166966743 -567.275889428453 F
1992.029 600.4806365990445 -575.6899224296793 604.9701365990445 -573.4894224296793 595.9911365990445 -577.8904224296793 F
1992.0301 598.2852785093216 -567.7885955385835 602.7042785093216 -565.4490955385835 593.8662785093217 -570.1280955385836 F
1992.3871 1287.853356241421 -681.7866617987108 1283.124856241421 -680.1616617987108 1292.5818562414208 -683.4116617987108 F
