t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.08 -40.07580992405816 -136.1737880704488 -35.08880992405816 -135.8132880704488 -45.062809924058165 -136.5342880704488 F
1990.1563 -54.30366728102418 -105.58664871581202 -51.90316728102418 -101.20064871581202 -56.70416728102418 -109.97264871581201 F
1990.2416 -56.928239032265694 -73.51213522359733 -54.01873903226569 -77.57813522359733 -59.837739032265695 -69.44613522359732 F
1990.4555 -4.19255734250342 -13.231327781338484 -0.8095573425034202 -16.913327781338484 -7.57555734250342 -9.549327781338484 F
1990.555 25.555983746403356 -15.417032302647236 20.73048374640336 -16.725532302647235 30.381483746403354 -14.108532302647236 F
1990.6147 41.16244906135101 -22.212250482133644 40.11144906135101 -27.100250482133646 42.213449061351014 -17.324250482133642 F
1990.7057 47.66333901065237 -42.879163839501246 43.75083901065237 -39.765663839501244 51.57583901065237 -45.99266383950125 F
1990.7799 44.7044703132778 -54.70338555859573 40.045970313277806 -56.519885558595725 49.3629703132778 -52.88688555859573 F
1990.8577 30.119331540825343 -70.30640851570911 30.192331540825343 -65.30690851570911 30.046331540825342 -75.3059085157091 F
1990.9427 5.079679211145383 -74.59411517892417 1.3001792111453825 -71.32111517892417 8.859179211145383 -77.86711517892417 F
1991.0156 -18.0205683825273 -65.48071023078066 -13.654068382527301 -63.04471023078066 -22.387068382527303 -67.91671023078067 F
1991.0971 -37.913282918875986 -45.11157240738719 -37.21478291887598 -40.16057240738719 -38.61178291887599 -50.062572407387194 F
1991.1772 -51.77950829954444 -17.330980904753055 -47.53750829954444 -19.977480904753055 -56.021508299544436 -14.684480904753055 F
1991.2453 -50.295523731177525 10.855258501475026 -45.963523731177524 13.351758501475025 -54.627523731177526 8.358758501475027 F
1991.3377 -34.68557372482915 43.60575984324375 -34.42407372482915 38.61275984324375 -34.947073724829146 48.598759843243755 F
1991.3948 -19.649948113110245 59.06753883078517 -15.109948113110246 56.97353883078517 -24.189948113110244 61.16153883078517 F
1991.5504 30.278848392472796 68.48544823763179 31.105348392472795 63.55444823763179 29.452348392472796 73.41644823763178 F
1991.645 48.33872330519486 52.361722050669464 43.57022330519486 53.865222050669466 53.107223305194864 50.85822205066946 F
1991.7142 53.6248943939786 40.04748751409196 50.0618943939786 36.53998751409196 57.1878943939786 43.55498751409196 F
1991.797 46.572991607336135 20.762441560912464 44.84599160733614 25.454441560912464 48.29999160733613 16.070441560912464 F
1991.8783 30.30440018481197 10.920542877192343 25.49390018481197 12.284042877192343 35.11490018481197 9.557042877192343 F
1991.9512 8.155105284784174 7.952273371837577 11.049105284784174 12.029273371837576 5.261105284784174 3.8752733718375767 F
1992.0362 -21.683458554762783 19.788244139367954 -22.884958554762783 24.641244139367956 -20.481958554762784 14.935244139367954 F
1992.113 -38.27388207196479 41.16218883513153 -33.33038207196479 40.41518883513153 -43.21738207196479 41.90918883513153 F
1992.2743 -40.752400352542494 104.93604368595778 -38.667900352542496 100.39154368595779 -42.83690035254249 109.48054368595778 F
1992.3337 -31.69509847173044 126.50434044742086 -26.700598471730437 126.28084044742086 -36.68959847173044 126.72784044742086 F
1992.432 -4.870790850664401 147.26577515483433 -7.368290850664401 142.93427515483432 -2.3732908506644006 151.59727515483434 F
1992.4866 12.329957828356186 150.60313315010964 14.933957828356185 146.33513315010964 9.725957828356186 154.87113315010964 F
1992.585 42.12274914377763 147.4675730990395 37.13524914377763 147.11357309903948 47.11024914377764 147.8215730990395 F
1992.8888 34.00816149340923 90.23777720806739 35.05716149340923 95.12627720806739 32.95916149340923 85.34927720806738 F
1993.0964 -25.722617387956745 118.19795888256293 -25.032617387956744 123.14995888256293 -26.412617387956747 113.24595888256293 F
