t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.0518 -4991.9370487393935 -4003.0744029627767 -4993.403048739394 -3998.2944029627765 -4990.471048739393 -4007.854402962777 F
1990.177 -4266.558814991285 -3547.5782114388217 -4267.985314991284 -3542.7862114388217 -4265.132314991285 -3552.3702114388216 F
1990.2209 -4025.8457335933094 -3358.7960515422606 -4030.8377335933096 -3358.5120515422605 -4020.8537335933092 -3359.0800515422607 F
1990.3278 -3512.1985056752324 -2866.835704610181 -3516.3185056752322 -2864.004204610181 -3508.0785056752325 -2869.6672046101808 F
1990.3288 -3511.3250448876247 -2867.21947281261 -3515.488544887625 -2864.45097281261 -3507.1615448876246 -2869.98797281261 F
1990.408 -3205.342057413123 -2506.417713959104 -3206.871557413123 -2511.1782139591037 -3203.8125574131227 -2501.657213959104 F
1990.4724 -3003.790253262932 -2239.3904741787183 -3008.758753262932 -2239.952474178718 -2998.821753262932 -2238.8284741787184 F
1990.5794 -2726.390725981844 -1866.8653527440513 -2724.4907259818438 -1871.4903527440513 -2728.290725981844 -1862.2403527440513 F
1990.6087 -2657.71791124788 -1781.8270876718695 -2659.4069112478796 -1786.5330876718695 -2656.02891124788 -1777.1210876718696 F
1990.6098 -2651.1976351729954 -1780.2440472472258 -2652.9936351729953 -1784.9100472472257 -2649.4016351729956 -1775.5780472472259 F
1990.7251 -2351.2817360410854 -1515.0768438554587 -2346.309736041085 -1515.6058438554587 -2356.2537360410856 -1514.5478438554587 F
1990.7264 -2348.3352670933605 -1519.898613743983 -2343.3797670933604 -1520.5576137439832 -2353.2907670933605 -1519.239613743983 F
1990.7568 -2252.7253470841097 -1460.0277225413743 -2249.6418470841095 -1463.9627225413742 -2255.80884708411 -1456.0927225413743 F
1990.758 -2246.1570648094707 -1455.9838016012293 -2243.167064809471 -1459.9913016012292 -2249.1470648094705 -1451.9763016012294 F
1990.8577 -1882.4487515049752 -1293.7021237093666 -1879.5262515049753 -1289.6451237093665 -1885.3712515049751 -1297.7591237093666 F
1990.9221 -1587.0092574355444 -1180.5985829551196 -1582.1072574355444 -1181.5845829551197 -1591.9112574355445 -1179.6125829551195 F
1990.995 -1200.6569165080075 -1016.154576021581 -1200.9529165080075 -1011.163576021581 -1200.3609165080074 -1021.145576021581 F
1991.1031 -582.1486786958703 -689.3599260504515 -580.3581786958704 -684.6919260504515 -583.9391786958703 -694.0279260504515 F
1991.1043 -575.3689222452967 -685.005954452399 -573.7294222452967 -680.2824544523991 -577.0084222452967 -689.729454452399 F
1991.2698 329.6352546922704 6.39874818288141 326.2352546922704 10.06474818288141 333.03525469227037 2.73274818288141 F
1991.3366 632.0085767162965 314.78062257812525 628.8085767162964 310.93912257812525 635.2085767162965 318.62212257812524 F
1991.4154 925.6219435620417 666.13793988124 920.7254435620417 667.1489398812399 930.5184435620416 665.12693988124 F
1991.5126 1217.8228748848767 1057.1505375640334 1218.4193748848768 1052.1865375640334 1217.2263748848766 1062.1145375640333 F
1991.555 1322.3791768474687 1200.7714948160728 1318.6281768474687 1197.4654948160728 1326.1301768474686 1204.0774948160729 F
1991.6705 1604.0929121049717 1510.8868763831804 1608.2114121049717 1508.0528763831803 1599.9744121049716 1513.7208763831804 F
1991.6718 1609.2815010926654 1516.4142387867507 1613.3135010926653 1513.4577387867507 1605.2495010926655 1519.3707387867507 F
1991.6937 1672.2344390445605 1565.0302448839782 1673.9999390445605 1560.3527448839782 1670.4689390445606 1569.7077448839782 F
1991.6949 1675.0323354269842 1567.1870696139342 1676.6688354269843 1562.4625696139342 1673.3958354269841 1571.9115696139343 F
1991.8042 2012.3773367397207 1764.9980002039956 2016.5538367397207 1767.7470002039956 2008.2008367397207 1762.2490002039956 F
1991.8552 2215.0282695161427 1845.156519195631 2219.3787695161427 1842.6925191956311 2210.6777695161427 1847.620519195631 F
1991.9387 2608.1746484287833 1998.056487300754 2609.1346484287833 2002.962987300754 2607.214648428783 1993.149987300754 F
1992.0266 3080.6161986672178 2211.4457826031758 3085.027198667218 2213.8002826031757 3076.2051986672177 2209.091282603176 F
1992.0277 3087.131069533715 2214.1130601166883 3091.481569533715 2216.576560116688 3082.780569533715 2211.6495601166885 F
1992.0814 3396.6345118564 2379.1582092572403 3394.5225118564 2383.6902092572404 3398.7465118564 2374.62620925724 F
1992.2087 4123.22737389325 2875.1675088347115 4120.98537389325 2879.6365088347115 4125.46937389325 2870.6985088347114 F
1992.2098 4130.940909365437 2880.91208383184 4128.571909365437 2885.3150838318397 4133.309909365436 2876.50908383184 F
1992.2609 4393.784982998333 3108.875089739119 4389.0309829983335 3107.326089739119 4398.538982998333 3110.424089739119 F
1992.3581 4825.179881643681 3557.8798838366324 4820.712881643682 3560.1258838366325 4829.646881643681 3555.6338838366323 F
1992.4431 5123.011520077255 3930.643003560139 5122.252020077255 3925.701003560139 5123.771020077255 3935.585003560139 F
1992.9602 6822.4404207743455 5188.969180176321 6827.439420774345 5189.068680176321 6817.441420774346 5188.869680176321 F
1993.1024 7628.416101282054 5595.6196673832665 7630.199601282054 5600.290667383267 7626.632601282055 5590.948667383266 F
1993.1034 7631.751250118731 5600.046404826126 7633.398250118731 5604.767404826125 7630.104250118731 5595.325404826126 F
1993.1435 7865.977475426744 5747.914475750921 7862.450475426744 5751.458475750921 7869.504475426744 5744.370475750921 F
1993.1447 7872.2224219982045 5751.846254159741 7868.577921998204 5755.269254159741 7875.866921998205 5748.423254159741 F
