t obsX obsY barStartX barStartY barEndX barEndY consortium
1989.9546 -1796.639391421322 3410.9025625496947 -1791.834891421322 3409.5180625496946 -1801.443891421322 3412.287062549695 F
1990.0335 -1707.4508529465786 3213.6479355777815 -1705.3458529465786 3218.1829355777813 -1709.5558529465786 3209.1129355777816 F
1990.3859 -914.1991344159943 2423.880839285888 -919.0431344159944 2422.641839285888 -909.3551344159943 2425.1198392858882 F
1990.4092 -855.8986455192121 2347.0974315868766 -859.107145519212 2343.2624315868766 -852.6901455192121 2350.9324315868766 F
1990.5077 -702.0805245706877 2104.1770991793865 -706.7750245706876 2105.8975991793864 -697.3860245706877 2102.4565991793866 F
1991.0618 -422.9880247017819 437.8599202605376 -418.17702470178193 436.4989202605376 -427.7990247017819 439.2209202605376 F
1991.5273 537.7143800512433 -655.7889788476576 535.6308800512434 -660.3339788476576 539.7978800512433 -651.2439788476577 F
1991.5879 605.3875770372276 -829.5128751797594 600.4980770372276 -828.4703751797593 610.2770770372276 -830.5553751797594 F
1991.934 648.0669723428488 -1923.1144124280515 650.7819723428488 -1918.9159124280516 645.3519723428487 -1927.3129124280515 F
1991.99 700.2470481875683 -2113.5735519451882 704.9580481875684 -2115.247051945188 695.5360481875683 -2111.9000519451884 F
1992.0581 819.1327990369388 -2282.3750971189165 821.4622990369388 -2277.9510971189166 816.8032990369387 -2286.7990971189165 F
1992.4054 1596.3435263804554 -3058.480884459748 1591.3485263804555 -3058.260884459748 1601.3385263804553 -3058.7008844597476 F
1992.4513 1665.2751283046673 -3163.8481992505585 1662.9241283046672 -3168.2611992505585 1667.6261283046674 -3159.4351992505585 F
1992.5353 1802.5552739017921 -3371.460436276828 1797.837273901792 -3369.805936276828 1807.2732739017922 -3373.1149362768283 F
1992.8934 1865.7133721066793 -4505.033178721761 1870.0048721066794 -4502.467178721761 1861.4218721066793 -4507.599178721761 F
1992.918 1885.6186940724099 -4581.879812923029 1890.5871940724098 -4582.441312923029 1880.65019407241 -4581.318312923029 F
1993.0077 1952.9123740930377 -4831.068379140885 1957.5193740930376 -4829.124879140884 1948.3053740930377 -4833.011879140885 F
1993.0597 2033.9381791044464 -4997.323435732797 2038.7276791044465 -4998.757935732798 2029.1486791044463 -4995.888935732797 F
1993.1047 2069.220542949054 -5055.11008439488 2072.464042949054 -5051.3050843948795 2065.977042949054 -5058.91508439488 F
