t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.2719 -288.73054645783304 213.35814247275172 -292.12704645783305 209.68964247275173 -285.33404645783304 217.02664247275172 F
1990.3288 -288.2471561675425 207.59365721710745 -292.6486561675425 209.96565721710743 -283.84565616754253 205.22165721710746 F
1990.6839 -666.7373698948775 84.15892827094858 -662.9858698948775 87.46342827094858 -670.4888698948774 80.85442827094857 F
1990.6851 -663.8500427899783 80.23836089003274 -660.0365427899783 83.47136089003274 -667.6635427899782 77.00536089003273 F
1990.7459 -658.3229718076766 65.29498830161778 -654.3749718076766 62.22698830161778 -662.2709718076766 68.36298830161778 F
1991.153 211.8258725727632 43.92921030919354 207.18787257276318 45.797210309193545 216.4638725727632 42.06121030919354 F
1991.1992 286.76962216183136 37.714900465921104 283.23162216183135 34.1819004659211 290.3076221618314 41.247900465921106 F
1991.2782 347.8674371399194 21.999822997246586 343.8729371399194 25.006822997246587 351.8619371399194 18.992822997246584 F
1991.6401 -3.3850044356127027 -101.48232354800857 1.3629955643872975 -99.91582354800856 -8.133004435612703 -103.04882354800857 F
1991.6413 -4.361334331691353 -101.61582609350792 0.4326656683086467 -100.19582609350792 -9.155334331691353 -103.03582609350792 F
1991.668 -19.27208497018095 -105.54157399849095 -14.711584970180947 -107.59057399849095 -23.83258497018095 -103.49257399849094 F
1991.6694 -17.71312811477144 -101.66406657106177 -13.22312811477144 -103.86406657106177 -22.203128114771438 -99.46406657106176 F
1991.7568 -12.224627810764938 -128.80712430603805 -7.243127810764938 -128.37762430603806 -17.206127810764936 -129.23662430603804 F
1991.758 -11.215681231283469 -131.43674208646888 -6.234181231283469 -131.00774208646888 -16.19718123128347 -131.86574208646888 F
1991.7592 -10.740144128869096 -127.64854614661547 -5.758644128869096 -127.22054614661548 -15.721644128869094 -128.07654614661547 F
1991.8602 124.94767833562699 -135.7183805044463 129.660178335627 -137.3898805044463 120.23517833562698 -134.04688050444628 F
1991.8613 126.32622052199399 -138.0392349126926 131.09022052199398 -139.5567349126926 121.56222052199399 -136.52173491269258 F
1991.8747 153.83623438736183 -138.23061473066278 158.82273438736183 -137.86761473066278 148.84973438736182 -138.59361473066278 F
1991.8757 155.6958030688745 -135.75467981902528 160.67030306887452 -135.24867981902528 150.7213030688745 -136.26067981902528 F
1991.8771 157.83445644214893 -130.55452571539593 162.78545644214893 -129.85702571539593 152.88345644214894 -131.25202571539592 F
1992.2268 950.6566226227203 -163.61279781230104 946.6776226227203 -160.58579781230105 954.6356226227203 -166.63979781230103 F
1992.3107 985.389033781997 -177.12922451927886 981.648033781997 -180.44572451927885 989.130033781997 -173.81272451927887 F
1993.1521 1487.1112727257107 -336.3004951079039 1482.4982727257106 -334.3719951079039 1491.7242727257108 -338.22899510790387 F
