t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.1819 1385.3832331575868 -11085.249960150571 1382.0262331575868 -11081.544960150572 1388.7402331575868 -11088.954960150571 F
1990.2645 1305.0812620343509 -10095.31310879735 1301.791262034351 -10099.07810879735 1308.3712620343508 -10091.548108797351 F
1990.3119 1201.8494652328802 -9534.874913727106 1197.0019652328801 -9533.650913727106 1206.6969652328803 -9536.098913727106 F
1990.7629 -144.3589309367046 -5089.988694707319 -140.2874309367046 -5092.889694707319 -148.43043093670462 -5087.087694707319 F
1990.8224 -100.14149058400027 -4566.537887065576 -96.93599058400027 -4562.700887065575 -103.34699058400027 -4570.374887065576 F
1991.1299 561.7435096687816 -1373.312907964356 558.5825096687817 -1369.438907964356 564.9045096687815 -1377.1869079643561 F
1991.193 586.7332309916309 -625.7774819518995 582.8297309916309 -628.9019819518995 590.6367309916309 -622.6529819518995 F
1991.2611 517.478488989732 188.53749543559127 513.273488989732 191.24249543559128 521.683488989732 185.83249543559126 F
1991.6377 -786.0703058508861 4137.907386551478 -781.3398058508861 4139.526886551478 -790.8008058508861 4136.287886551479 F
1991.6913 -896.4286085907602 4609.3185621953835 -893.0751085907601 4605.610062195384 -899.7821085907602 4613.027062195383 F
1991.7703 -942.6849975772154 5302.6514712878 -939.3904975772155 5306.4124712878 -945.9794975772154 5298.890471287799 F
1992.0823 -307.9987449676358 8399.892410860535 -311.6192449676358 8403.340910860536 -304.3782449676358 8396.443910860535 F
1992.0836 -304.84089855117185 8415.39344418357 -308.57389855117185 8418.71994418357 -301.10789855117184 8412.06694418357 F
1992.1176 -249.5605917338405 8807.16777683284 -254.43059173384052 8806.035276832841 -244.6905917338405 8808.30027683284 F
1992.2087 -215.35011623000793 9892.433584449736 -218.94011623000793 9895.913584449736 -211.76011623000792 9888.953584449737 F
1992.301 -371.6157972185239 10990.770705755249 -374.84529721852385 10986.95370575525 -368.3862972185239 10994.587705755248 F
1992.3349 -462.24443508702865 11384.322867121355 -467.24443508702865 11384.273367121355 -457.24443508702865 11384.372367121354 F
1992.8485 -1662.2993289307406 16328.794768368432 -1658.7498289307405 16332.316268368433 -1665.8488289307406 16325.273268368432 F
1992.8497 -1656.5105037281644 16336.1878735856 -1653.0695037281644 16339.814873585601 -1659.9515037281644 16332.5608735856 F
1993.1289 -1032.2635378723835 19271.02351312714 -1035.4070378723834 19274.91151312714 -1029.1200378723836 19267.13551312714 F
