t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.0846 -7782.33882316963 6534.396554328053 -7777.36682316963 6533.871054328053 -7787.31082316963 6534.922054328053 F
1990.2463 -6770.068951529064 5831.914479729617 -6767.6509515290645 5827.538979729617 -6772.486951529064 5836.289979729617 F
1990.301 -6364.819880390361 5590.120867563267 -6359.820880390361 5590.222367563267 -6369.81888039036 5590.019367563267 F
1990.4031 -5567.99011874183 5088.155737240619 -5570.05761874183 5083.603737240619 -5565.92261874183 5092.707737240618 F
1990.4506 -5187.073343147627 4817.307476401808 -5184.290843147627 4813.153976401808 -5189.855843147628 4821.460976401809 F
1990.5514 -4380.047890069141 4191.806863799447 -4385.000390069142 4191.121363799447 -4375.095390069141 4192.492363799446 F
1990.6122 -3921.3202314587475 3777.800055855454 -3922.9232314587475 3773.0645558554543 -3919.7172314587474 3782.535555855454 F
1990.6997 -3325.1344246536446 3153.6004929045585 -3328.8209246536444 3156.9774929045584 -3321.447924653645 3150.2234929045585 F
1990.7823 -2826.1246271513824 2563.4562101454053 -2831.0001271513825 2562.348710145405 -2821.2491271513823 2564.5637101454054 F
1990.8528 -2445.7210290381636 2083.5809295227646 -2445.4930290381635 2088.5749295227647 -2445.9490290381636 2078.5869295227644 F
1990.854 -2440.377597978826 2075.7208084367535 -2440.0325979788263 2080.7083084367537 -2440.722597978826 2070.7333084367533 F
1990.95 -1964.4331871531815 1486.34258861829 -1967.2781871531815 1490.45408861829 -1961.5881871531815 1482.23108861829 F
1991.0995 -1188.9049303181891 732.4586979812107 -1187.500430318189 737.2561979812107 -1190.3094303181892 727.6611979812106 F
1991.1007 -1186.6410562051974 728.4115770146552 -1185.1735562051974 733.1905770146552 -1188.1085562051974 723.6325770146552 F
1991.1822 -693.8447496472988 376.02389701619825 -690.0227496472988 372.80089701619823 -697.6667496472988 379.24689701619826 F
1991.243 -286.1625318871589 124.83638321424793 -281.56953188715886 126.81138321424793 -290.7555318871589 122.86138321424794 F
1991.3414 453.3721726388971 -330.38238615544316 453.1691726388971 -335.37788615544315 453.5751726388971 -325.38688615544316 F
1991.3887 826.2601508881681 -568.7993569639029 830.4071508881682 -571.591856963903 822.1131508881681 -566.0068569639029 F
1991.4921 1657.8925493131408 -1155.7320095565562 1653.5765493131407 -1158.2550095565562 1662.2085493131408 -1153.2090095565563 F
1991.5454 2088.3624971593667 -1497.5266666348914 2088.505997159367 -1502.5231666348914 2088.2189971593666 -1492.5301666348914 F
1991.6401 2781.8239146983306 -2146.8385613229084 2777.2309146983307 -2144.8630613229084 2786.4169146983304 -2148.8140613229084 F
1991.7142 3273.414351169446 -2681.0808619890045 3269.466351169446 -2684.1483619890046 3277.362351169446 -2678.0133619890044 F
1991.7909 3726.595183316049 -3228.0053507608345 3725.0186833160487 -3223.2608507608347 3728.171683316049 -3232.7498507608343 F
1991.8844 4220.058635893656 -3848.9769375324745 4215.678635893656 -3846.5664375324745 4224.438635893656 -3851.3874375324745 F
1991.9512 4545.14576513543 -4250.467978478197 4548.49176513543 -4246.752978478197 4541.799765135431 -4254.182978478198 F
1992.0411 4991.765595735465 -4725.649882010097 4991.509595735464 -4720.6568820100965 4992.021595735465 -4730.642882010097 F
1992.1176 5415.820991777153 -5079.879536063276 5420.573491777152 -5081.433036063276 5411.068491777153 -5078.326036063276 F
1992.279 6489.67317317971 -5769.682033434949 6491.29117317971 -5774.412533434948 6488.0551731797095 -5764.951533434949 F
1992.3301 6869.382578381109 -6009.789625383628 6874.301078381109 -6010.688125383628 6864.464078381109 -6008.891125383628 F
1992.4332 7688.801994044932 -6540.410539643234 7685.859994044932 -6544.453039643234 7691.743994044932 -6536.368039643235 F
1992.4819 8085.188950605595 -6826.065841697519 8087.131950605595 -6830.672341697519 8083.245950605595 -6821.459341697519 F
1993.1824 12317.170677093172 -11090.47755524311 12320.994677093173 -11093.698555243109 12313.346677093172 -11087.25655524311 F
