t obsX obsY barStartX barStartY barEndX barEndY
1989.9595 5099.479775040431 -930.3416772252493 5095.701275040431 -933.6156772252493 5103.258275040432 -927.0676772252493
1989.9603 5135.8684929675455 -973.5484907073928 5132.166992967545 -976.9099907073928 5139.569992967546 -970.1869907073929
1989.9615 5104.804098710562 -943.5018582786273 5101.219098710562 -946.9873582786273 5108.389098710562 -940.0163582786273
1990.0687 4915.351152176139 -1249.756959215055 4912.023652176139 -1246.024959215055 4918.67865217614 -1253.488959215055
1990.1296 4785.658471405876 -1593.3996036164103 4780.936471405877 -1595.0416036164104 4790.380471405876 -1591.7576036164103
1990.2025 4264.018317351894 -1473.7028011939447 4263.310817351894 -1468.7533011939447 4264.725817351895 -1478.6523011939446
1990.5028 2137.5056444414577 -917.2588335147836 2141.223144441458 -913.9153335147837 2133.7881444414575 -920.6023335147836
1990.5623 1723.5938950208028 -635.6744694829003 1727.156895020803 -639.1824694829004 1720.0308950208027 -632.1664694829003
1990.6464 1509.8338377821535 -276.96391598726063 1514.6163377821536 -275.5054159872606 1505.0513377821535 -278.42241598726065
1990.741 1349.145829408225 30.807489126081567 1349.428329408225 25.815489126081566 1348.863329408225 35.79948912608157
1990.7774 1423.9158032674557 106.49549601820752 1428.0003032674556 103.61249601820752 1419.8313032674557 109.37849601820751
1990.7787 1397.1723984624653 67.90486045469657 1401.3233984624653 65.11786045469657 1393.0213984624652 70.69186045469658
1991.0193 1378.1096486412644 -321.20267047361995 1373.6001486412645 -319.04367047361995 1382.6191486412642 -323.36167047361994
1991.0618 1434.1813428505789 -358.52177431072244 1429.9903428505788 -361.2482743107224 1438.372342850579 -355.79527431072245
1991.1481 962.8040476740857 -462.3453496081851 961.2020476740857 -457.6088496081851 964.4060476740857 -467.08184960818505
1991.2382 465.0052956716419 -461.0032646343035 460.26329567164186 -459.4182646343035 469.7472956716419 -462.58826463430347
1991.2855 9.649470195159992 -516.709883140037 9.797970195159992 -511.71238314003705 9.500970195159992 -521.707383140037
1991.4484 -1209.3473958752843 -80.40438364635915 -1205.6778958752843 -77.00838364635915 -1213.0168958752843 -83.80038364635915
1991.4494 -1159.6838019259058 -139.2399611503488 -1155.9238019259058 -135.9439611503488 -1163.4438019259057 -142.53596115034878
1991.4507 -1236.5473560975865 -53.096795005250826 -1232.6708560975865 -49.938795005250824 -1240.4238560975866 -56.25479500525083
1991.4518 -1477.5301186994877 258.6793038274055 -1473.5631186994876 261.7223038274055 -1481.4971186994878 255.63630382740547
1991.4749 -1354.3132027693498 -35.7704272701823 -1349.3152027693498 -35.6334272701823 -1359.3112027693498 -35.9074272701823
1991.4762 -1363.5783755713655 -50.206686352162095 -1358.5783755713655 -50.23018635216209 -1368.5783755713655 -50.183186352162096
1991.5891 -1905.8987769718544 422.9690649478938 -1901.5412769718544 425.4205649478938 -1910.2562769718545 420.5175649478938
1991.5903 -1918.4322697433233 441.2138057146972 -1914.0407697433234 443.60180571469715 -1922.8237697433233 438.8258057146972
1991.6718 -2018.936161650682 831.1775029063417 -2017.604661650682 826.3580029063418 -2020.267661650682 835.9970029063417
1991.7277 -2193.17292844767 944.7548345680102 -2188.23342844767 943.9783345680102 -2198.11242844767 945.5313345680103
1991.9718 -2066.990167337453 717.2627045520844 -2071.971667337453 716.8322045520844 -2062.008667337453 717.6932045520845
1991.9949 -2332.1660779388735 1128.537799674033 -2335.9245779388734 1125.240799674033 -2328.4075779388736 1131.834799674033
1991.9961 -2166.5404151123876 931.3183832496136 -2170.2014151123876 927.9128832496136 -2162.8794151123875 934.7238832496136
1992.0945 -2195.1500072066747 714.8371434653674 -2197.867507206675 719.0336434653674 -2192.4325072066745 710.6406434653674
1992.1637 -2637.7011276217772 272.7810362515005 -2642.625127621777 271.9135362515005 -2632.7771276217773 273.6485362515005
1992.2305 -3150.302980741275 414.7927519640285 -3150.624980741275 419.78225196402855 -3149.980980741275 409.8032519640285
1992.5314 -5291.904585854966 1190.8513035029812 -5288.001585854966 1193.975803502981 -5295.807585854966 1187.7268035029813
1993.061 -5915.840799152437 1778.4848382547116 -5920.008299152437 1775.7223382547115 -5911.673299152438 1781.2473382547116
