BJDtdb1 BJDtdb2 BJDtcb1 BJDtcb2 RvTot RvBT RvGO RvgsO RvgT RvlO RvLocal RvlT RvRemote RvSB RvSG RvSO RvsT RvST RvTot RvTropo
2455436 0.85625925481291 2455436 0.856449850981909 -34616.4604464841 0 -42.3727340601166 -4.60662210130987 0 -0.000202596801999157 -17945.7461609445 0 -16671.7122636678 -16674.0196164543 17993.7999133789 17951.4271793188 2.30748110318373 -16674.0196164543 -34616.4604464841 0.0000162695802991694
2455436 0.857199311268231 2455436 0.857389907451806 -34613.8447716832 0 -44.67795502842 -4.60643564630847 0 -0.0002025475883301 -17943.1303416926 0 -16671.7122626693 -16674.0196154612 17993.4888163529 17948.8108613245 2.30748110318373 -16674.0196154612 -34613.8447716832 0.0000171748028766442
2455436 0.858249373740694 2455436 0.858439969940551 -34610.9248602667 0 -47.2510779053384 -4.60622662499307 0 -0.000202492798344612 -17940.2102689836 0 -16671.712261571 -16674.0196143519 17993.1413089781 17945.8902310727 2.30748110318373 -16674.0196143519 -34610.9248602667 0.0000181890350331942
2455437 0.802825564796874 2455437 0.803016175642572 -34425.4031889917 0 82.1858588156114 -4.61738649935076 0 -0.000200355991078068 -17754.6792724622 0 -16671.711269219 -16674.0186220153 17678.1623926223 17760.348251438 2.30748110318373 -16674.0186220153 -34425.4031889917 -0.0000324136911546009
2455437 0.803835624401142 2455437 0.804026235262501 -34422.6259707025 0 79.7473726564908 -4.61723812084375 0 -0.000200296664456808 -17751.9019007687 0 -16671.7112681539 -16674.0186209407 17677.8230308527 17757.5704035092 2.30748110318373 -16674.0186209407 -34422.6259707025 -0.000031380626225322
2455437 0.804945690214165 2455437 0.805136301092735 -34419.5700543084 0 77.0637306302682 -4.61707369961795 0 -0.000200231552042566 -17748.8458156265 0 -16671.711266989 -16674.0186197595 17677.4500625238 17754.5137931541 2.30748110318373 -16674.0186197595 -34419.5700543084 -0.0000302515399639848
2455437 0.805915747591312 2455437 0.806106358484923 -34416.8964750447 0 74.7154758158095 -4.61692884917773 0 -0.000200174729697129 -17746.1720886833 0 -16671.7112659572 -16674.0186187274 17677.1241299058 17751.8396057216 2.30748110318373 -16674.0186187274 -34416.8964750447 -0.0000292700358149283
2455437 0.807015812714917 2455437 0.807206423625585 -34413.861204598 0 72.0491344433727 -4.61676336287516 0 -0.000200110382098482 -17743.13665062 0 -16671.711264759 -16674.0186175568 17676.7545095001 17748.8036439435 2.30748110318373 -16674.0186175568 -34413.861204598 -0.0000281626062895795
2455437 0.807975869405481 2455437 0.808166480331035 -34411.2094055883 0 69.71931355525 -4.61661784676195 0 -0.000200054304488639 -17740.4847051623 0 -16671.7112637604 -16674.0186165352 17676.4319264617 17746.151240017 2.30748110318373 -16674.0186165352 -34411.2094055883 -0.0000272008176079645
2455438 0.865247574334137 2455438 0.865438201652898 -33906.0430383964 0 -77.3079896347045 -4.60784454316844 0 -0.000191705356266527 -17235.2913646017 0 -16671.7101428004 -16674.0174955751 17318.1982290971 17240.8902394624 2.30748110318373 -16674.0174955751 -33906.0430383964 0.0000304202256893314
2455438 0.866237631351689 2455438 0.866428258685801 -33903.3120535585 0 -79.701383001277 -4.60764237828473 0 -0.00019165588182923 -17232.5602289557 0 -16671.7101417354 -16674.0174945122 17317.8599716614 17238.1585886601 2.30748110318373 -16674.0174945122 -33903.3120535585 0.000031431855611257
2455438 0.867337694590463 2455438 0.867528321941632 -33900.2812609607 0 -82.3570679692163 -4.60741698141405 0 -0.000191601134042147 -17229.5292690077 0 -16671.7101405371 -16674.0174933311 17317.4841239577 17235.1270559885 2.30748110318373 -16674.0174933311 -33900.2812609607 0.000032562203750607
2455438 0.868297749636108 2455438 0.868488377002163 -33897.6394289395 0 -84.6715282329243 -4.60721960937579 0 -0.000191553548364555 -17226.8872910709 0 -16671.7101395053 -16674.0174923004 17317.1561061776 17232.4845779447 2.30748110318373 -16674.0174923004 -33897.6394289395 0.0000335543145231086
2455438 0.869427814806657 2455438 0.869618442190233 -33894.53374021 0 -87.3918665167363 -4.60698655726586 0 -0.000191497770054399 -17223.7814308641 0 -16671.7101383071 -16674.0174910871 17316.7699954717 17229.3781289549 2.30748110318373 -16674.0174910871 -33894.53374021 0.0000347290741845598
2455438 0.870367868532357 2455438 0.87055849593051 -33891.9536123462 0 -89.6514325345584 -4.6067919810541 0 -0.000191451564859624 -17221.2011604796 0 -16671.7101373086 -16674.0174900779 17316.4488009982 17226.7973684637 2.30748110318373 -16674.0174900779 -33891.9536123462 0.0000357122373238038
2455439 0.900006717686218 2455439 0.900197361049125 -33462.1605346486 0 -164.879194752492 -4.60199733828854 0 -0.000184920535063427 -16791.385280953 0 -16671.7090366516 -16674.0163894386 16961.8071587522 16796.9279639997 2.30748110318373 -16674.0163894386 -33462.1605346486 0.0000741739735585529
2455439 0.90099677277226 2455439 0.901187416150518 -33459.6047025171 0 -167.091933847723 -4.60177673426331 0 -0.000184879103727149 -16788.8293077321 0 -16671.7090355866 -16674.0163883674 16961.4634190993 16794.3714852515 2.30748110318373 -16674.0163883674 -33459.6047025171 0.0000755453093128461
2455439 0.902116835655536 2455439 0.90230747905116 -33456.7210889835 0 -169.587394225722 -4.60152677405971 0 -0.000184832526685247 -16785.9455351026 0 -16671.7090343551 -16674.0163871555 16961.0745353832 16791.4871411575 2.30748110318373 -16674.0163871555 -33456.7210889835 0.0000771147588847163
2455439 0.903076889280813 2455439 0.903267532691323 -33454.2561310323 0 -171.719643417155 -4.601312094524 0 -0.000184792853989094 -16783.4804410546 0 -16671.7090333233 -16674.0163861167 16960.7412012244 16789.0215578073 2.30748110318373 -16674.0163861167 -33454.2561310323 0.0000784756204586148
2455439 0.904196952144129 2455439 0.904387595572006 -33451.3882839299 0 -174.199322989765 -4.60106120237823 0 -0.000184746863047596 -16780.6124356884 0 -16671.7090321251 -16674.0163849048 16960.352305021 16786.1529820312 2.30748110318373 -16674.0163849048 -33451.3882839299 0.0000800819853510916
2455439 0.905137004946046 2455439 0.905327648388499 -33448.9880244995 0 -176.273792929389 -4.60085031717849 0 -0.000184708509083256 -16778.2120437892 0 -16671.7090310933 -16674.0163838877 16960.025904786 16783.7521118566 2.30748110318373 -16674.0163838877 -33448.9880244995 0.0000814460993286598
2455582 0.535766812604943 2455582 0.535959667563539 10389.9222980083 0 -231.450048053762 -4.76604365707019 0 0.000665574805097557 27062.9553251311 0 -16671.5280498875 -16673.8354026869 -26824.296056278 -27055.7461043317 2.30748110318373 -16673.8354026869 10389.9222980083 0.000126968075087073
2455582 0.536876712496007 2455582 0.537069567471814 10392.0114971426 0 -233.654075403128 -4.7662743793247 0 0.000665676279268488 27065.0446392937 0 -16671.5280487891 -16673.8354015882 -26824.1807328802 -27057.8348082833 2.30748110318373 -16673.8354015882 10392.0114971426 0.000129288773476167
2455582 0.5379566148588 2455582 0.53814946985135 10394.0332520214 0 -235.78756650931 -4.76649777917644 0 0.000665775130852378 27067.0665056062 0 -16671.528047724 -16673.8354005192 -26824.0685172991 -27059.8560838084 2.30748110318373 -16673.8354005192 10394.0332520214 0.000131585105739352
2455582 0.539036517214331 2455582 0.539229372223625 10396.0440788132 0 -237.910140670934 -4.76672018051871 0 0.000665874096799913 27069.0774430994 0 -16671.528046659 -16673.8353994503 -26823.9562927866 -27061.8664334576 2.30748110318373 -16673.8353994503 10396.0440788132 0.000133920300957065
2455582 0.540116420028259 2455582 0.540309275054298 10398.0438797971 0 -240.021700521036 -4.76694145021692 0 0.000665973173213333 27071.0773542522 0 -16671.5280455939 -16673.8353983814 -26823.8440592943 -27063.8657598154 2.30748110318373 -16673.8353983814 10398.0438797971 0.000136295414952487
2455582 0.541206321542708 2455582 0.541399176585645 10400.0509171789 0 -242.141542967746 -4.76716371842459 0 0.000666073274913603 27073.0845022689 0 -16671.5280445288 -16673.8353973026 -26823.7307775879 -27065.8723205556 2.30748110318373 -16673.8353973026 10400.0509171789 0.000138734100008261
2455584 0.542078002382709 2455584 0.542270888449558 10189.0449662961 0 -254.562312709259 -4.76654723867878 0 0.000686993476555273 26862.0648710075 0 -16671.5260992327 -16673.8334520032 -26600.328912316 -26854.8912250253 2.30748110318373 -16673.8334520032 10189.0449662961 0.000154236905041207
2455584 0.543157905476839 2455584 0.543350791560432 10190.9359617003 0 -256.581829179047 -4.76676458090641 0 0.000687095156772156 26863.9559704564 0 -16671.5260981676 -16673.8334509551 -26600.1999363338 -26856.7817655128 2.30748110318373 -16673.8334509551 10190.9359617003 0.000156975452304831
2455584 0.544217810669334 2455584 0.544410696769361 10192.7803767044 0 -258.552396567466 -4.7669768640194 0 0.000687195039502033 26865.8004870422 0 -16671.5260971358 -16673.8334499264 -26600.0733398535 -26858.6257364209 2.30748110318373 -16673.8334499264 10192.7803767044 0.000159712974800255
2455584 0.545317712110396 2455584 0.545510598227477 10194.6821860993 0 -260.585130870219 -4.76719593699677 0 0.000687298776751165 26867.7024011474 0 -16671.5260960707 -16673.833448859 -26599.9419568397 -26860.5270877099 2.30748110318373 -16673.833448859 10194.6821860993 0.00016260732135299
2455584 0.546417613544506 2455584 0.546610499678641 10196.5714674621 0 -262.605349109081 -4.76741394489738 0 0.00068740259672153 26869.5917864884 0 -16671.5260950056 -16673.8334477916 -26599.8105643254 -26862.4159134344 2.30748110318373 -16673.8334477916 10196.5714674621 0.000165557745007536
2455584 0.54754751204622 2455584 0.547740398197875 10198.4991268692 0 -264.667529086255 -4.76763661250885 0 0.000687509329750442 26871.5195520038 0 -16671.5260939073 -16673.8334466951 -26599.6755785141 -26864.3431076004 2.30748110318373 -16673.8334466951 10198.4991268692 0.000168648747099274
2455588 0.536586999341798 2455588 0.5367799473443 9658.49135274933 0 -265.233393238801 -4.76389979067415 0 0.000730114205029641 26331.4779816002 0 -16671.5223297929 -16673.8296825807 -26059.16765469 -26324.4010479288 2.30748110318373 -16673.8296825807 9658.49135274933 0.000169511428075302
2455588 0.537686902743169 2455588 0.537879850762725 9660.31570823072 0 -267.224325829325 -4.76412485470834 0 0.000730222298947193 26333.3024375316 0 -16671.5223287611 -16673.8296815554 -26059.0006293953 -26326.2249552246 2.30748110318373 -16673.8296815554 9660.31570823072 0.000172597766456541
2455588 0.53877680693994 2455588 0.538969754976395 9662.11080598677 0 -269.184498723359 -4.76434679007952 0 0.000730329505790679 26335.0976340735 0 -16671.5223277626 -16673.8296805396 -26058.8351125868 -26328.0196113102 2.30748110318373 -16673.8296805396 9662.11080598677 0.000175716921718177
2455588 0.539886709525955 2455588 0.540079657579619 9663.92578153678 0 -271.167591154618 -4.76457172097911 0 0.000730438773045879 26336.9127096076 0 -16671.5223267308 -16673.8296795051 -26058.6665485836 -26329.8341397382 2.30748110318373 -16673.8296795051 9663.92578153678 0.000178957436139199
2455588 0.540966614511838 2455588 0.541159562582246 9665.67896246445 0 -273.084357511274 -4.76478946261053 0 0.00073054517313221 26338.6659869913 0 -16671.522325699 -16673.8296784986 -26058.5025305526 -26331.5868880638 2.30748110318373 -16673.8296784986 9665.67896246445 0.000182174324030086
2455786 0.847823649325846 2455786 0.848019672183321 -39142.4677921326 0 78.060062743784 -4.59053438302353 0 -0.000286934248324765 -22472.2999762136 0 -16671.4174974154 -16673.724850191 22400.5151136154 22478.5751763591 2.30748110318373 -16673.724850191 -39142.4677921326 -0.0000306709555264568
2455786 0.848803722813972 2455786 0.848999745686644 -39139.8611130698 0 75.6887505174435 -4.59034100502315 0 -0.000286876396895793 -22469.6931530992 0 -16671.4174965168 -16673.7248492899 22400.2790194439 22475.9677699613 2.30748110318373 -16673.7248492899 -39139.8611130698 -0.0000296772498579931
2455786 0.849823799130988 2455786 0.850019822019476 -39137.1449711751 0 73.2175872001894 -4.59013897327403 0 -0.000286816310325164 -22466.9768611285 0 -16671.4174955515 -16673.7248483521 22400.033282649 22473.2508698492 2.30748110318373 -16673.7248483521 -39137.1449711751 -0.000028648098589694
2455786 0.85084387590445 2455786 0.851039898808754 -39134.4257996363 0 70.7433989829918 -4.58993600958275 0 -0.000286756354493883 -22464.2575392807 0 -16671.4174946196 -16673.7248474141 22399.7875394529 22470.5309384359 2.30748110318373 -16673.7248474141 -39134.4257996363 -0.0000276239700867441
2455786 0.851833949726166 2455786 0.852029972645821 -39131.7838057566 0 68.3391877503353 -4.58973837127529 0 -0.000286698289185631 -22461.6153993857 0 -16671.4174937209 -16673.7248465038 22399.5490181487 22467.8882058991 2.30748110318373 -16673.7248465038 -39131.7838057566 -0.0000266345846315056
2455788 0.767875559395561 2455788 0.768071612023821 -38834.2501253097 0 243.481333646503 -4.60500531477857 0 -0.000280413031526702 -22164.0669329107 0 -16671.4157329826 -16673.7230857682 21926.8292665415 22170.310600188 2.30748110318373 -16673.7230857682 -38834.2501253097 -0.000139148801486149
2455788 0.769065647141463 2455788 0.769261699788175 -38831.6431961869 0 241.17428626701 -4.60487557511497 0 -0.000280339421916594 -22161.4598599027 0 -16671.4157318843 -16673.7230846561 21926.5287282618 22167.7030145288 2.30748110318373 -16673.7230846561 -38831.6431961869 -0.000136497198523215
2455788 0.770115724857032 2455788 0.770311777520026 -38829.3316980575 0 239.127393152735 -4.60475948174744 0 -0.000280274425553828 -22159.1482342637 0 -16671.4157308857 -16673.7230836747 21926.2635401945 22165.3909333472 2.30748110318373 -16673.7230836747 -38829.3316980575 -0.000134198579819778
2455788 0.771155801749055 2455788 0.771351854428176 -38827.0318949371 0 237.089678110191 -4.60464312211072 0 -0.000280210007599556 -22156.8483041994 0 -16671.4157299205 -16673.7230827026 21926.0008711335 22163.0905492437 2.30748110318373 -16673.7230827026 -38827.0318949371 -0.00013195875603624
2455788 0.772195878633079 2455788 0.772391931328326 -38824.721909716 0 235.041783899172 -4.60452529799344 0 -0.000280145551642347 -22154.5381914686 0 -16671.4157289553 -16673.7230817305 21925.7381954908 22160.7799793899 2.30748110318373 -16673.7230817305 -38824.721909716 -0.00012975472276802
2455790 0.934001995469545 2455790 0.934198081684024 -37873.8022817611 0 -155.854239527298 -4.57585562816446 0 -0.000259970659645708 -21203.5677088274 0 -16671.4137001505 -16673.7210529439 21365.4977176224 21209.6434780951 2.30748110318373 -16673.7210529439 -37873.8022817611 0.0000687691572171503
2455790 0.940902483348663 2455790 0.941098569670136 -37856.5042721451 0 -171.323181124995 -4.57423205176877 0 -0.000259703031500077 -21186.2687438375 0 -16671.4136935603 -16673.721046343 21363.6636337043 21192.3404525793 2.30748110318373 -16673.721046343 -37856.5042721451 0.0000782240815222384
